Draft_Year,Round,Pick_Number,Team,Player,Position,Age,Last_Season,All_Pro_Selections,Pro_Bowl_Selections,Games_Started,Weighted_AV,Draft_Rookie_AV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,Column_28
1995,3,68,WAS,Darryl Pounds,DB,23,2000,0,0,0,9,9,78,0,0,0,0,0,0,0,0,0,0,0,112,9,3.5,Nicholls St.,
1995,3,69,CIN,Melvin Tuten,T,23,2002,0,0,0,11,7,66,0,0,0,0,0,0,0,0,2,12,1,,,,Syracuse,
1995,3,70,DET,David Sloan,TE,23,2003,0,1,6,18,17,110,0,0,0,0,0,0,0,0,192,2151,15,,,,New Mexico,College Stats
1995,3,71,JAX,Chris Hudson,DB,23,2001,0,0,4,27,18,77,0,0,0,0,0,0,0,0,0,0,0,60,11,1.5,Colorado,College Stats
1995,3,72,PHI,Greg Jefferson,DE,24,1999,0,0,3,19,19,57,0,0,0,0,0,0,0,0,0,0,0,114,,13.5,Central Florida,
1995,3,73,GNB,Brian Williams,LB,22,2002,0,0,3,32,31,81,0,0,0,0,0,0,0,0,0,0,0,279,4,6.0,USC,College Stats
1995,3,74,NWE,Curtis MartinHOF,RB,22,2005,1,5,11,102,27,168,2,2,36,2,0,3518,14101,90,484,3329,10,,,,Pittsburgh,College Stats
1995,3,75,NOR,Mike Verstegen,G,23,1997,0,0,1,5,5,22,0,0,0,0,0,0,0,0,0,0,0,,,,Wisconsin,
1995,3,76,BUF,Marlon Kerner,DB,22,1998,0,0,0,6,6,43,0,0,0,0,0,0,0,0,0,0,0,64,3,1.0,Ohio St.,College Stats
1995,3,77,ATL,Lorenzo Styles,LB,21,2000,0,0,0,6,2,70,0,0,0,0,0,0,0,0,0,0,0,69,,1.0,Ohio St.,College Stats
1995,3,78,PHI,Chris Jones,WR,24,1997,0,0,1,10,10,32,0,0,0,0,0,0,0,0,80,993,5,,,,Miami (FL),College Stats
1995,3,79,IND,Zack Crockett,FB,22,2007,0,0,5,13,5,175,0,0,0,0,0,510,1701,36,96,680,2,30,,,Florida St.,College Stats
1995,3,80,ARI,Stoney Case,QB,23,2000,0,0,0,4,1,20,163,318,1826,4,15,60,270,5,0,0,0,,,,New Mexico,College Stats
1995,3,81,KAN,Tamarick Vanover,WR,21,2002,0,0,0,12,12,77,0,0,0,0,0,17,88,0,39,564,3,,,,Florida St.,College Stats
1995,3,82,STL,Steve McLaughlin,K,23,1995,0,0,0,-1,-1,8,0,0,0,0,0,0,0,0,0,0,0,,,,Arizona,College Stats
1995,3,83,CHI,Sean Harris,LB,23,2001,0,0,3,20,20,83,0,0,0,0,0,0,0,0,0,0,0,205,2,2.0,Arizona,College Stats
1995,3,84,CLE,Eric Zeier,QB,23,2000,0,0,0,5,-2,28,301,537,3520,16,15,43,127,0,0,0,0,,,,Georgia,College Stats
1995,3,85,NYG,Rodney Young,DB,22,1998,0,0,0,3,3,33,0,0,0,0,0,0,0,0,0,0,0,6,,,LSU,College Stats
1995,3,86,OAK,Joe Aska,RB,23,1997,0,0,0,3,3,23,0,0,0,0,0,74,336,1,8,63,0,,,,Central Oklahoma,
