Draft_Year,Round,Pick_Number,Team,Player,Position,Age,Last_Season,All_Pro_Selections,Pro_Bowl_Selections,Games_Started,Weighted_AV,Draft_Rookie_AV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,Column_27
1983,6,146,KAN,Ellis Gardner,T,21,1984,0,0,0,2,1,17,0,0,0,0,0,0,0,0,0,0,0,,,Georgia Tech,
1983,6,147,PHI,Victor Oatis,WR,24,1983,0,0,0,1,,9,0,0,0,0,0,0,0,0,6,93,0,,,Northwestern St. (LA),
1983,6,148,TAM,Gene Branton,WR,22,1985,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,Texas Southern,
1983,6,149,CLE,Dave Puzzuoli,NT,22,1987,0,0,0,7,7,76,0,0,0,0,0,0,0,0,0,0,0,,15.5,Pittsburgh,
1983,6,150,SEA,Reginald Gipson,RB,,,0,0,0,,,,,,,,,,,,,,,,,Alabama A&M,
1983,6,151,NYG,Darrell Patterson,LB,,,0,0,0,,,,,,,,,,,,,,,,,TCU,College Stats
1983,6,152,CIN,Kiki DeAyala,LB,21,1987,0,0,0,3,3,28,0,0,0,0,0,0,0,0,0,0,0,,1.0,Texas,
1983,6,153,NYG,Kevin Belcher,C,22,1984,0,0,1,8,8,32,0,0,0,0,0,0,0,0,1,4,0,,,Texas-El Paso,
1983,6,154,DET,Todd Brown,WR,,,0,0,0,,,,,,,,,,,,,,,,,Nebraska,College Stats
1983,6,155,NWE,Mike Bass,K,,,0,0,0,,,,,,,,,,,,,,,,,Illinois,College Stats
1983,6,156,ATL,Anthony Allen,WR,24,1989,0,0,0,7,3,45,0,0,0,0,0,0,0,0,44,767,8,,,Washington,College Stats
1983,6,157,STL,George Schmitt,DB,22,1983,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,,,Delaware,
1983,6,158,TAM,Ken Kaplan,T,23,1987,0,0,0,6,3,35,0,0,0,0,0,0,0,0,0,0,0,,,New Hampshire,
1983,6,159,MIN,Mike Jones,WR,23,1989,0,0,3,22,11,79,0,0,0,0,0,7,60,0,165,2372,11,,,Tennessee St.,
1983,6,160,GNB,Ron Sams,C,22,1984,0,0,1,4,0,15,0,0,0,0,0,0,0,0,0,0,0,,,Pittsburgh,
1983,6,161,BAL,Grant Feasel,C,23,1992,0,0,3,24,1,117,0,0,0,0,0,0,0,0,1,5,0,,,Abilene Christian,
1983,6,162,DAL,Reggie Collier,QB,22,1987,0,0,0,1,1,6,12,22,206,3,3,10,73,0,0,0,0,,,Southern Miss,College Stats
1983,6,163,NYJ,Vincent White,RB,,,0,0,0,,,,,,,,,,,,,,,,,Stanford,College Stats
1983,6,164,PIT,Eric Williams,DB,23,1987,0,0,3,21,21,50,0,0,0,0,0,0,0,0,0,0,0,10,2.0,North Carolina St.,College Stats
1983,6,165,CIN,Larry Kinnebrew,RB,24,1990,0,0,4,24,20,88,0,0,0,0,0,779,3133,44,70,660,3,,,Tennessee St.,
1983,6,166,WAS,Bob Winckler,T,,,0,0,0,,,,,,,,,,,,,,,,,Wisconsin,
1983,6,167,MIA,Reggie Roby,P,22,1998,2,3,0,28,21,238,1,1,48,0,0,9,4,0,0,0,0,,,Iowa,College Stats
1983,6,168,WAS,Babe Laufenberg,QB,23,1990,0,0,0,4,,16,93,211,1057,5,11,33,126,0,0,0,0,,,Indiana,College Stats
1983,7,169,BAL,Alvin Moore,RB,24,1987,0,0,0,6,2,58,0,2,0,0,0,197,641,7,42,291,1,,,Arizona St.,College Stats
1983,7,170,HOU,Herkie Walls,WR,22,1987,0,0,1,5,5,38,0,0,0,0,0,9,64,0,32,587,2,,,Texas,College Stats
1983,7,171,RAM,Jeff Simmons,WR,23,1983,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,USC,College Stats
1983,7,172,DEN,Myron Dupree,DB,21,1983,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,,,North Carolina Central,
1983,7,173,KAN,Ken Thomas,RB,23,1983,0,0,0,2,2,14,0,0,0,0,0,15,55,0,28,236,1,,,San Jose St.,College Stats
1983,7,174,PHI,Anthony Edgar,RB,,,0,0,0,,,,,,,,,,,,,,,,,Hawaii,College Stats
1983,7,175,SFO,Gary Moten,LB,22,1987,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,,,SMU,College Stats
1983,7,176,CLE,Rocky Belk,WR,23,1983,0,0,0,1,1,10,0,0,0,0,0,1,-5,0,5,141,2,,,Miami (FL),College Stats
1983,7,177,SEA,Sam Merriman,LB,22,1987,0,0,0,6,6,71,0,0,0,0,0,0,0,0,0,0,0,,2.0,Idaho,
1983,7,178,NYG,Perry Williams,DB,22,1993,0,0,7,46,46,146,0,0,0,0,0,0,0,0,0,0,0,18,5.0,North Carolina St.,College Stats
1983,7,179,KAN,Daryl Posey,RB,,,0,0,0,,,,,,,,,,,,,,,,,Mississippi Col.,
1983,7,180,BUF,Gurnest Brown,DT,,,0,0,0,,,,,,,,,,,,,,,,,Maryland,
1983,7,181,DET,Mike Black,P,22,1987,0,0,0,7,7,58,0,1,0,0,1,8,-24,0,0,0,0,,,Arizona St.,College Stats
1983,7,182,PHI,Jon Schultheis,G,,,0,0,0,,,,,,,,,,,,,,,,,Princeton,
1983,7,183,ATL,Jeff Turk,DB,,,0,0,0,,,,,,,,,,,,,,,,,Boise St.,
1983,7,184,STL,Carlos Scott,C,23,1985,0,0,0,4,4,45,0,0,0,0,0,0,0,0,0,0,0,,,Texas-El Paso,
