Coach_Directory,Coach_Name,Background,Offensive_Years,Defensive_Years,Total_Coaching_Years,Sample_Roles
Joe Philbin,Joe Philbin,Offensive,31,0,41,"Graduate Assistant, Offensive Line, Offensive Coordinator/Offensive Line"
Joe Schmidt,Joe Schmidt,Defensive,0,1,7,"Linebackers, Head Coach"
Joe Stydahar,Joe Stydahar,Offensive,3,2,10,"Line Coach, Head Coach, Defensive Line"
Joe Thomas,Joe Thomas,Defensive,0,4,11,"Freshmen Coach, Assistant Coach, Defensive Line"
Joe Vitt,Joe Vitt,Defensive,0,16,44,"Strength/Quality Control, Defensive Quality Control, Quality Control/Asst. LB"
Joe Walton,Joe Walton,Offensive,16,0,43,"Wide Receivers, Offensive Coordinator, Running Backs"
Joey Sternaman,Joey Sternaman,Other,0,0,2,Head Coach
John Armstrong,John Armstrong,Other,0,0,1,Head Coach
John Fassel,John Fassel,Offensive,2,0,27,"WR Coach, Strength & Conditioning/WRs, Grad Asst/Sports Science"
John Fox,John Fox,Defensive,0,22,42,"Graduate Assistant, Defensive Backs, Defensive Coordinator/Defensive Backs"
John Harbaugh,John Harbaugh,Both,4,6,42,"Running Backs/Outside Linebackers, Tight Ends, Special Teams/Secondary"
John Mackovic,John Mackovic,Offensive,11,0,33,"Graduate Assistant, Freshman Coach, Offensive Coordinator"
John Madden,John Madden,Defensive,0,5,19,"Assistant Coach, Head Coach, Defensive Coordinator"
John Mazur,John Mazur,Both,9,8,26,"Assistant Coach, Offensive Backfield, Offensive Coordinator"
John McKay,John McKay,Other,0,0,35,"Assistant Coach, Head Coach"
John McVay,John McVay,Other,0,0,25,"Assistant Coach, Head Coach"
John Michelosen,John Michelosen,Offensive,9,0,24,"Backfield Coach, Head Coach"
John North,John North,Offensive,15,0,29,"Assistant Coach, Receivers, Head Coach"
John Ralston,John Ralston,Offensive,1,0,33,"Assistant Coach, Head Coach, Offensive Coordinator"
John Rauch,John Rauch,Offensive,8,0,26,"Assistant Coach, Offensive Backfield, Head Coach"
John Robinson,John Robinson,Offensive,4,1,44,"Assistant Coach, Offensive Coordinator, Offensive Backfield"
John Sandusky,John Sandusky,Both,29,6,36,"Defensive Line, Offensive Line, Head Coach"
John Whelchel,John Whelchel,Other,0,0,4,"Assistant Coach, Head Coach"
Johnny Blood,Johnny Blood,Other,0,0,8,Head Coach
Johnny Bryan,Johnny Bryan,Other,0,0,2,Head Coach
Johnny Murphy,Johnny Murphy,Other,0,0,1,Head Coach
Jon Gruden,Jon Gruden,Offensive,10,0,28,"Graduate Assistant, Passing Game Coordinator, Wide Receivers"
Jonathan Gannon,Jonathan Gannon,Defensive,0,12,22,"Student Assistant, Graduate Assistant, Defensive Quality Control"
Josh McDaniels,Josh McDaniels,Offensive,17,2,25,"Graduate Assistant, Personnel Assistant, Defensive Assistant"
June Jones,June Jones,Offensive,13,0,36,"QB Coach, WR Coach, Offensive Coordinator"
Kay Stephenson,Kay Stephenson,Offensive,8,0,20,"Assistant Coach, Head Coach, Offensive Assistant"
Keith Molesworth,Keith Molesworth,Offensive,9,0,14,"Backfield Coach, Head Coach"
Kellen Moore,Kellen Moore,Offensive,7,0,8,"Quarterbacks, Offensive Coordinator, Head Coach"
Ken Huffine,Ken Huffine,Other,0,0,1,Head Coach
Ken Meyer,Ken Meyer,Offensive,28,0,40,"Assistant Coach, Quarterbacks, Offensive Backfield"
Ken Shipp,Ken Shipp,Offensive,11,0,29,"Assistant Coach, Receivers, Offensive Coordinator"
Ken Whisenhunt,Ken Whisenhunt,Offensive,16,0,29,"Special Teams/Tight Ends/Running Backs, Tight Ends, Special Teams"
Kevin Gilbride,Kevin Gilbride,Both,23,6,38,"Linebackers Coach, Defensive Coordinator, Head Coach"
Kevin O'Connell,Kevin O'Connell,Offensive,7,0,11,"Quarterbacks, Offensive Assistant, Offensive Coordinator"
Kevin Stefanski,Kevin Stefanski,Offensive,11,0,20,"Assistant, Asst. QB Coach, Tight Ends"
Kliff Kingsbury,Kliff Kingsbury,Offensive,7,0,18,"Offensive Quality Control, Offensive Coordinator/QB, Head Coach"
Kyle Shanahan,Kyle Shanahan,Offensive,13,0,23,"Graduate Assistant, Offensive Quality Control, Wide Receivers"
Lane Kiffin,Lane Kiffin,Offensive,10,1,29,"Graduate Assistant, Offensive Line Assistant, Defensive Quality Control"
Larry Wilson,Larry Wilson,Other,0,0,1,Head Coach
Leeman Bennett,Leeman Bennett,Offensive,9,0,22,"Assistant Coach, Offensive Assistant, Offensive Coordinator"
Lenny Sachs,Lenny Sachs,Other,0,0,1,Head Coach
Leo Lyons,Leo Lyons,Other,0,0,2,Head Coach
Les Steckel,Les Steckel,Offensive,20,0,29,"Assistant Coach, Wide Receivers, Head Coach"
Leslie Frazier,Leslie Frazier,Defensive,0,17,38,"Head Coach, Defensive Backs, Defensive Coordinator"
Liam Coen,Liam Coen,Offensive,15,0,16,"Quarterbacks, Quarterbacks/Passing Game Coordinator, Offensive Coordinator"
Lindy Infante,Lindy Infante,Offensive,13,0,29,"Asst. Coach, Offensive Coordinator, WR Coach"
Lisle Blackbourn,Lisle Blackbourn,Offensive,2,0,35,"Head Coach, Backfield Coach, Line Coach"
Lone Star Dietz,Lone Star Dietz,Other,0,0,24,"Head Coach, Assistant Coach"
Lou Holtz,Lou Holtz,Both,3,5,43,"Freshman Coach, Offensive Backs, Defensive Backs"
Lou Mahrt,Lou Mahrt,Other,0,0,1,Head Coach
Lou Rymkus,Lou Rymkus,Offensive,11,0,16,"Line Coach, Offensive Line, Head Coach"
Lou Saban,Lou Saban,Other,0,0,31,"Head Coach, Assistant Coach"
Lovie Smith,Lovie Smith,Defensive,0,22,42,"Defensive Coordinator, Asst. Coach/DB/WR, Linebackers"
Luby DiMeolo,Luby DiMeolo,Other,0,0,6,"Assistant Coach, Head Coach"
Lud Wray,Lud Wray,Offensive,8,0,22,"Assistant Coach, Head Coach, Line Coach"
Luke Johnsos,Luke Johnsos,Other,0,0,32,"Assistant Coach, Head Coach"
Mac Speedie,Mac Speedie,Offensive,4,0,7,"Receivers, Head Coach"
Mal Stevens,Mal Stevens,Other,0,0,19,"Assistant Coach, Head Coach, Freshmen Coach"
Marc Trestman,Marc Trestman,Offensive,22,0,38,"Volunteer Assistant, Quarterbacks, Running Backs"
Marion Campbell,Marion Campbell,Defensive,0,21,29,"Defensive Line, Defensive Coordinator, Defensive Coordinator/Interim HC"
Marty Brill,Marty Brill,Other,0,0,12,"Assistant Coach, Head Coach"
Marty Feldman,Marty Feldman,Offensive,1,0,15,"Freshmen Coach, Assistant Coach, Head Coach"
Marty Mornhinweg,Marty Mornhinweg,Offensive,20,0,35,"Receivers, Graduate Assistant, Running Backs"
Marty Schottenheimer,Marty Schottenheimer,Defensive,0,11,32,"Linebackers Coach, Defensive Coordinator, Defensive Coordinator/Interim HC"
Marv Levy,Marv Levy,Other,0,0,45,"Head Coach, Assistant Coach, Kicking Teams"
Marvin Lewis,Marvin Lewis,Defensive,0,23,44,"Linebackers, Defensive Coordinator, Head Coach"
Matt Eberflus,Matt Eberflus,Defensive,0,29,34,"Student Assistant, Graduate Assistant, Outside Linebackers"
Matt LaFleur,Matt LaFleur,Offensive,16,0,23,"Offensive Assistant, Quarterbacks/Wide Receivers, Offensive Coordinator"
Matt Nagy,Matt Nagy,Offensive,11,0,18,"Coaching Intern, Coaches' Assistant, Offensive Quality Control"
Matt Patricia,Matt Patricia,Both,3,15,27,"Graduate Assistant, Defensive Line, Offensive Assistant"
Matt Rhule,Matt Rhule,Both,6,6,28,"Linebackers, Defensive Line, Special Teams/Linebackers"
Max Hicks,Max Hicks,Other,0,0,1,Head Coach
Mel Doherty,Mel Doherty,Other,0,0,2,"Assistant Coach, Head Coach"
Mel Hein,Mel Hein,Offensive,18,0,21,"Head Coach, Line Coach, Offensive Line"
Mel Tucker,Mel Tucker,Defensive,1,17,28,"Graduate Assistant, Defensive Backs, Co-Defensive Coordinator"
Mike Ditka,Mike Ditka,Offensive,9,0,23,"Special Teams/Receivers, Head Coach"
Mike Getto,Mike Getto,Offensive,15,0,18,"Freshman Coach, Line Coach, Assistant Coach"
Mike Holmgren,Mike Holmgren,Offensive,15,0,38,"Offensive Coordinator, Assistant, Offensive Coordinator/QBs"
Mike Holovak,Mike Holovak,Offensive,5,0,25,"Freshman Coach, Head Coach, Offensive Backfield"
Mike Macdonald,Mike Macdonald,Defensive,2,11,18,"Linebackers/Running Backs, Graduate Assistant, Quality Control"
Mike Martz,Mike Martz,Offensive,21,0,38,"Assistant Coach, Quarterbacks/Receivers, Offensive Coordinator"
Mike McCarthy,Mike McCarthy,Offensive,14,0,37,"Graduate Assistant, Wide Receivers, Offensive Quality Control"
Mike McCormack,Mike McCormack,Offensive,9,2,17,"Line Coach, Defensive Line, Offensive Line"
Mike McCoy,Mike McCoy,Offensive,17,0,23,"Quarterbacks, Wide Receivers, QB/Passing Game Coord."
Mike McDaniel,Mike McDaniel,Offensive,16,0,21,"Intern, Offensive Assistant, Running Backs"
Mike Mularkey,Mike Mularkey,Offensive,18,0,25,"Offensive Line, Quality Control, Tight Ends"
Mike Munchak,Mike Munchak,Offensive,25,0,28,"Offensive Assistant/Quality Control, Offensive Line, Head Coach"
Mike Nixon,Mike Nixon,Offensive,16,0,26,"Assistant Coach, Backfield Coach, Head Coach"
Mike Nolan,Mike Nolan,Defensive,1,33,42,"Graduate Assistant, Linebackers/Defensive Backs, Linebackers"
Mike Palm,Mike Palm,Offensive,5,0,14,"Assistant Coach, Head Coach, Backfield Coach"
Mike Pettine,Mike Pettine,Defensive,0,13,36,"Assistant Coach, Graduate Assistant, Head Coach"
Mike Riley,Mike Riley,Defensive,1,10,48,"Graduate Assistant, Defensive Coordinator/Secondary, Secondary"
Mike Shanahan,Mike Shanahan,Offensive,17,0,38,"Offensive Assistant, Backfield, Offensive Coordinator"
Mike Sherman,Mike Sherman,Offensive,20,0,40,"Head Coach, Assistant Coach, Graduate Assistant"
Mike Singletary,Mike Singletary,Defensive,0,4,14,"Linebackers, Assistant Head Coach/Linebackers, Interim Head Coach/Assistant Head Coach/LBs"
Mike Smith,Mike Smith,Defensive,0,19,36,"Graduate Assistant, Linebackers, Defensive Line"
Mike Tice,Mike Tice,Offensive,12,0,21,"Tight Ends, Offensive Line, Interim Head Coach/Offensive Line"
Mike Tomlin,Mike Tomlin,Defensive,2,9,31,"Wide Receivers, Graduate Assistant, Defensive Backs"
Mike Vrabel,Mike Vrabel,Defensive,0,7,15,"Linebackers, Defensive Line, Defensive Coordinator"
Mike White,Mike White,Both,18,6,40,"Defensive Line, Offensive Coordinator/OL, Head Coach"
Mike Zimmer,Mike Zimmer,Both,5,31,46,"Assistant Coach, Defensive Coordinator, Defensive Backs Coach"
Milan Creighton,Milan Creighton,Other,0,0,4,Head Coach
Monte Clark,Monte Clark,Offensive,9,0,17,"Offensive Line, Offensive Coordinator, Head Coach"
Nathaniel Hackett,Nathaniel Hackett,Offensive,19,1,23,"Asst. Linebackers, Offensive Assistant, Coordinator's Assistant"
Ned Mathews,Ned Mathews,Other,0,0,1,Head Coach
Neill Armstrong,Neill Armstrong,Defensive,0,10,28,"Defensive Coach, Head Coach, Defensive Backs"
Nelson Talbot,Nelson Talbot,Other,0,0,3,Head Coach
Nick Saban,Nick Saban,Defensive,0,19,51,"Graduate Assistant, Linebackers, Outside Linebackers"
Nick Sirianni,Nick Sirianni,Offensive,15,2,22,"Defensive Backs, Wide Receivers, Offensive Quality Control"
Nick Skorich,Nick Skorich,Both,10,4,26,"Head Coach, Line Coach, Defensive Line"
Norb Hecker,Norb Hecker,Defensive,0,25,28,"Defensive Backs, Head Coach, Defensive Coordinator"
Norm Barry,Norm Barry,Other,0,0,2,Head Coach
Norm Van Brocklin,Norm Van Brocklin,Offensive,1,0,14,"Head Coach, Offensive Backfield"
Norv Turner,Norv Turner,Offensive,27,1,45,"Graduate Assistant, Wide Receivers, Defensive Backs"
Ollie Kraehe,Ollie Kraehe,Other,0,0,1,Head Coach
Otto Graham,Otto Graham,Other,0,0,12,Head Coach
Paddy Driscoll,Paddy Driscoll,Other,0,0,37,"Head Coach, Assistant Coach"
Pat Boland,Pat Boland,Offensive,6,0,8,"Freshmen Coach, Line Coach, Head Coach"
Pat Peppler,Pat Peppler,Other,0,0,10,"Assistant Coach, Head Coach"
Pat Shurmur,Pat Shurmur,Offensive,30,0,35,"Tight Ends, Offensive Line, Tight Ends/Offensive Line"
Paul Brown,Paul Brown,Other,0,0,41,Head Coach
Paul Schissler,Paul Schissler,Other,0,0,30,"Head Coach, Assistant Coach"
Paul Wiggin,Paul Wiggin,Defensive,0,16,23,"Defensive Line, Defensive Coordinator, Head Coach"
Perry Fewell,Perry Fewell,Both,4,28,35,"Graduate Assistant, Defensive Backs, Wide Receivers"
Pete Carroll,Pete Carroll,Defensive,1,17,51,"Graduate Assistant, Secondary Coordinator, Defensive Coordinator"
Pete Cawthon,Pete Cawthon,Offensive,1,0,24,"Head Coach, Line Coach, Assistant Coach"
Pete Henry,Pete Henry,Offensive,2,0,8,"Head Coach, Freshmen Coach, Assistant Coach"
Pete McCulley,Pete McCulley,Offensive,26,0,27,"Backfield Coach, Receivers/QBs, Receivers"
Pete Stinchcomb,Pete Stinchcomb,Other,0,0,1,Head Coach
Phil Bengtson,Phil Bengtson,Both,12,18,34,"Line Coach, Defensive Assistant, Defensive Coordinator"
Phil Handler,Phil Handler,Both,17,3,31,"Assistant Coach, Head Coach, Line Coach"
Pop Ivy,Pop Ivy,Defensive,1,2,19,"Assistant Coach, Head Coach, Defensive Coordinator"
Potsy Clark,Potsy Clark,Other,0,0,25,"Assistant Coach, Head Coach"
Punk Berryman,Punk Berryman,Other,0,0,5,Head Coach
Raheem Morris,Raheem Morris,Both,4,17,28,"Graduate Assistant, Defensive Backs, Defensive Quality Control"
Ralph Jones,Ralph Jones,Other,0,0,36,"Assistant Coach, Head Coach"
Ralph Scott,Ralph Scott,Other,0,0,2,Head Coach
Ray Flaherty,Ray Flaherty,Other,0,0,12,Head Coach
Ray Handley,Ray Handley,Both,7,5,25,"Graduate Assistant, Assistant Coach, Linebackers"
Ray Malavasi,Ray Malavasi,Defensive,2,15,29,"Line Coach, Assistant Coach, Defensive Line"
Ray McLean,Ray McLean,Offensive,11,0,16,"Head Coach, Backfield Coach"
Ray Perkins,Ray Perkins,Offensive,12,0,32,"Assistant, Wide Receivers, Offensive Coordinator"
Ray Prochaska,Ray Prochaska,Offensive,25,0,38,"Assistant Coach, Offensive Line, Head Coach"
Ray Rhodes,Ray Rhodes,Defensive,0,23,32,"Asst. DB Coach, Defensive Backs, Defensive Coordinator"
Ray Richards,Ray Richards,Offensive,15,1,22,"Line Coach, Assistant Coach, Head Coach"
Ray Willsey,Ray Willsey,Both,8,12,37,"Assistant Coach, Defensive Backs, Head Coach"
Raymond Berry,Raymond Berry,Offensive,16,0,22,"Receivers, Head Coach, Quarterbacks"
Red Dawson,Red Dawson,Offensive,10,0,23,"Backfield Coach, Head Coach"
Red Hickey,Red Hickey,Offensive,10,0,17,"Receivers, Offensive Assistant, Head Coach"
Red Miller,Red Miller,Offensive,15,0,27,"Assistant Coach, Offensive Line, Head Coach"
Red Strader,Red Strader,Offensive,2,0,20,"Head Coach, Assistant Coach, Backfield Coach"
Red Weaver,Red Weaver,Other,0,0,5,Head Coach
Rex Ryan,Rex Ryan,Defensive,0,20,30,"Defensive Ends, Defensive Coordinator/Assistant Head Coach, Defensive Coordinator"
Rich Bisaccia,Rich Bisaccia,Both,14,3,43,"Defensive Backs/Special Teams, Quarterbacks/Wide Receivers, Tight Ends/Wide Receivers (Graduate)"
Rich Brooks,Rich Brooks,Defensive,0,14,43,"Defensive Line, Linebackers, Special Teams"
Rich Kotite,Rich Kotite,Offensive,14,0,20,"Tight Ends, Wide Receivers, Offensive Coordinator"
Richard Williamson,Richard Williamson,Offensive,25,0,45,"Assistant Coach, Head Coach, Wide Receivers"
Richie Petitbon,Richie Petitbon,Defensive,0,19,20,"Defensive Assistant, Defensive Backs, Defensive Coordinator"
Rick Forzano,Rick Forzano,Offensive,4,0,26,"Assistant Coach, Head Coach, Offensive Backs"
Rick Venturi,Rick Venturi,Defensive,0,27,37,"Assistant, Defensive Backs, Head Coach"
Rob Chudzinski,Rob Chudzinski,Offensive,19,0,30,"Graduate Assistant, Tight Ends, Offensive Coordinator"
Robert Saleh,Robert Saleh,Defensive,0,21,25,"Defensive Assistant, Defensive Intern, Defensive Quality Control"
Rod Dowhower,Rod Dowhower,Offensive,25,0,37,"Assistant Coach, Receivers, Offensive Coordinator"
Rod Marinelli,Rod Marinelli,Defensive,1,32,49,"Defensive Coordinator, Defensive Line, Offensive Line/Special Teams"
Rod Rust,Rod Rust,Defensive,0,28,43,"Assistant Coach, Head Coach, Defensive Coordinator"
Romeo Crennel,Romeo Crennel,Defensive,0,32,50,"Graduate Assistant, Defensive Line, Defensive Assistant"
Ron Erhardt,Ron Erhardt,Offensive,21,0,42,"Assistant Coach, Head Coach, Offensive Backs"
Ron Meyer,Ron Meyer,Other,0,0,29,"Head Coach, Assistant Coach, Scout"
Ron Rivera,Ron Rivera,Defensive,0,14,27,"Defensive Quality Control, Linebackers, Defensive Coordinator"
Ron Waller,Ron Waller,Offensive,3,0,9,"Head Coach, Offensive Assistant, Special Teams"
Roy Andrews,Roy Andrews,Other,0,0,8,Head Coach
Rube Ursella,Rube Ursella,Other,0,0,4,Head Coach
Russ Daugherty,Russ Daugherty,Other,0,0,1,Head Coach
Russell Tollefson,Russell Tollefson,Other,0,0,4,Head Coach
Sam Rutigliano,Sam Rutigliano,Both,17,4,47,"Head Coach, DB Coach, WR Coach"
Sam Wyche,Sam Wyche,Offensive,19,0,32,"Quarterbacks, Head Coach, Offensive Coordinator"
Sammy Baugh,Sammy Baugh,Offensive,2,0,11,"Head Coach, Assistant Coach, Offensive Backfield"
Scott Linehan,Scott Linehan,Offensive,29,0,38,"Wide Receivers, Quarterbacks, Offensive Coordinator/QBs"
Scotty Bierce,Scotty Bierce,Other,0,0,1,Head Coach
Sean McDermott,Sean McDermott,Defensive,0,15,28,"Graduate Assistant, Scouting Coordinator, Asst. to the Head Coach"
Sean McVay,Sean McVay,Offensive,9,0,18,"Asst. Wide Receivers, Wide Receivers, Asst. Tight Ends"
Sean Payton,Sean Payton,Offensive,16,0,38,"Offensive Assistant, Running Backs, Offensive Coordinator"
Shane Steichen,Shane Steichen,Offensive,11,2,16,"Offensive Assistant, Defensive Assistant, Offensive Quality Control"
Shorty Barr,Shorty Barr,Other,0,0,1,Head Coach
Sid Gillman,Sid Gillman,Offensive,3,0,40,"Assistant Coach, Head Coach, Quality Control"
Stan Cofall,Stan Cofall,Other,0,0,8,Head Coach
Steve Mariucci,Steve Mariucci,Offensive,17,0,29,"Quarterbacks/Running Backs, Quarterbacks/Special Teams Coordinator, Offensive Coordinator"
Steve Owen,Steve Owen,Defensive,0,2,29,"Head Coach, Defensive Assistant, Interim Head Coach"
Steve Spagnuolo,Steve Spagnuolo,Defensive,0,38,46,"Graduate Assistant, Player Personnel Intern, Defensive Line/Special Teams"
Steve Spurrier,Steve Spurrier,Offensive,5,0,37,"Quarterbacks, Offensive Coordinator, Head Coach"
Steve Wilks,Steve Wilks,Defensive,0,24,29,"Defensive Coordinator, Head Coach, Defensive Backs"
Swede Youngstrom,Swede Youngstrom,Offensive,2,0,3,"Line Coach, Head Coach"
Tam Rose,Tam Rose,Other,0,0,6,Head Coach
Ted Marchibroda,Ted Marchibroda,Offensive,24,0,36,"Offensive Backs, Offensive Coach, Offensive Coordinator"
Ted Nesser,Ted Nesser,Other,0,0,2,Head Coach
Ted Shipkey,Ted Shipkey,Offensive,2,0,19,"Head Coach, Backfield Coach, Ends Coach"
Terry Robiskie,Terry Robiskie,Offensive,33,0,38,"Asst. ST Coach, Asst. RB Coach, Tight Ends"
Tex Grigg,Tex Grigg,Offensive,31,0,37,"Head Coach, Backfield Coach"
Thomas Brown,Thomas Brown,Offensive,13,0,15,"Strength & Conditioning, Running Backs, Offensive Coordinator/Running Backs"
Todd Bowles,Todd Bowles,Defensive,0,17,29,"Defensive Coordinator/Secondary, Secondary, Secondary (nickel package)"
Todd Haley,Todd Haley,Offensive,21,0,26,"Offensive Assistant/Quality Control, Wide Receivers, Wide Receivers/Passing Game Coordinator"
Tom Bettis,Tom Bettis,Defensive,0,28,28,"Defensive Backs, Defensive Coordinator/Interim HC, Defensive Coordinator"
Tom Cable,Tom Cable,Offensive,24,1,35,"Graduate Assistant, Defensive Line, Offensive Line"
Tom Coughlin,Tom Coughlin,Offensive,17,0,45,"Graduate Assistant, Head Coach, Quarterbacks/Offensive Backfield"
Tom Fears,Tom Fears,Offensive,10,0,16,"Receivers, Offensive Coordinator, Head Coach"
Tom Flores,Tom Flores,Offensive,8,0,20,"Quarterbacks, Receivers, Head Coach"
Tom Landry,Tom Landry,Defensive,0,6,35,"Defensive Coordinator, Head Coach"
Tom Scott,Tom Scott,Other,0,0,2,"Head Coach, Assistant Coach"
Tommy Hudspeth,Tommy Hudspeth,Offensive,1,0,21,"Assistant Coach, Head Coach, Backfield Coach"
Tommy Hughitt,Tommy Hughitt,Other,0,0,10,Head Coach
Tommy Prothro,Tommy Prothro,Other,0,0,32,"Assistant Coach, Head Coach"
Tony Dungy,Tony Dungy,Defensive,0,16,29,"Defensive Backs, Defensive Assistant, Defensive Coordinator"
Tony Sparano,Tony Sparano,Offensive,22,0,34,"Offensive Line, Offensive Coordinator, Head Coach"
Turk Edwards,Turk Edwards,Offensive,5,0,8,"Line Coach, Head Coach"
Tut Imlay,Tut Imlay,Other,0,0,1,Head Coach
Untz Brewer,Untz Brewer,Other,0,0,1,Head Coach
Urban Meyer,Urban Meyer,Offensive,12,2,34,"Defensive Backs, Graduate Assistant, Outside Linebackers"
Vance Joseph,Vance Joseph,Defensive,0,22,27,"Graduate Assistant, Defensive Backs, Asst. Defensive Backs"
Vic Fangio,Vic Fangio,Defensive,0,40,47,"Linebackers, Defensive Coordinator, Graduate Assistant"
Vince Lombardi,Vince Lombardi,Offensive,5,0,30,"Assistant Coach, Head Coach, Offensive Coordinator"
Vince Tobin,Vince Tobin,Defensive,0,25,32,"Graduate Assistant, Defensive Coordinator, Head Coach"
Wade Phillips,Wade Phillips,Defensive,0,39,52,"Graduate Assistant, Defensive Coordinator, Linebackers"
Wally Hess,Wally Hess,Other,0,0,3,Head Coach
Wally Lemm,Wally Lemm,Defensive,0,3,25,"Assistant Coach, Head Coach, Defensive Assistant"
Wally McIlwain,Wally McIlwain,Other,0,0,1,Head Coach
Walt Driskill,Walt Driskill,Other,0,0,8,"Freshman Coach, Assistant Coach, Head Coach"
Walt Kiesling,Walt Kiesling,Offensive,9,0,25,"Assistant Coach, Head Coach, Line Coach"
Walt Koppisch,Walt Koppisch,Other,0,0,1,Head Coach
Walt Michaels,Walt Michaels,Defensive,0,15,23,"Defensive Line, Linebackers/Defensive Backs, Defensive Coordinator"
Wayne Brenkert,Wayne Brenkert,Other,0,0,2,Head Coach
Wayne Fontes,Wayne Fontes,Defensive,0,13,25,"Assistant Coach, Defensive Backs, Defensive Coordinator"
Wayne Millner,Wayne Millner,Offensive,11,0,14,"Ends Coach, Head Coach, Assistant Coach"
Weeb Ewbank,Weeb Ewbank,Offensive,6,0,47,"Head Coach, Assistant Coach, Tackles"
Willie Wilkin,Willie Wilkin,Other,0,0,1,Head Coach
Zac Taylor,Zac Taylor,Offensive,7,0,18,"Graduate Assistant, Asst. QB Coach, QB Coach"
