Coach,Team,Year,G,W,L,T,Coach_Win_Pct
Don Shula,MIA,1984,16,14,2,0,0.875
Don Shula,MIA,1985,16,12,4,0,0.75
Don Shula,MIA,1986,16,8,8,0,0.5
Don Shula,MIA,1987,15,8,7,0,0.5333
Don Shula,MIA,1988,16,6,10,0,0.375
Don Shula,MIA,1989,16,8,8,0,0.5
Don Shula,MIA,1990,16,12,4,0,0.75
Don Shula,MIA,1991,16,8,8,0,0.5
Don Shula,MIA,1992,16,11,5,0,0.6875
Don Shula,MIA,1993,16,9,7,0,0.5625
Don Shula,MIA,1994,16,10,6,0,0.625
Don Shula,MIA,1995,16,9,7,0,0.5625
Doug Marrone,BUF,2013,16,6,10,0,0.375
Doug Marrone,BUF,2014,16,9,7,0,0.5625
Doug Marrone,JAX,2017,16,10,6,0,0.625
Doug Marrone,JAX,2018,16,5,11,0,0.3125
Doug Marrone,JAX,2019,16,6,10,0,0.375
Doug Marrone,JAX,2020,16,1,15,0,0.0625
Doug Pederson,PHI,2016,16,7,9,0,0.4375
Doug Pederson,PHI,2017,16,13,3,0,0.8125
Doug Pederson,PHI,2018,16,9,7,0,0.5625
Doug Pederson,PHI,2019,16,9,7,0,0.5625
Doug Pederson,PHI,2020,16,4,11,1,0.2812
Doug Pederson,JAX,2022,17,9,8,0,0.5294
Doug Pederson,JAX,2023,17,9,8,0,0.5294
Doug Pederson,JAX,2024,17,4,13,0,0.2353
Ed Biles,OTI,1981,16,7,9,0,0.4375
Ed Biles,OTI,1982,9,1,8,0,0.1111
Ed Biles,OTI,1983,6,0,6,0,0.0
Ed Hughes,OTI,1971,14,4,9,1,0.3214
Ed Khayat,PHI,1972,14,2,11,1,0.1786
Eric Mangini,NYJ,2006,16,10,6,0,0.625
Eric Mangini,NYJ,2007,16,4,12,0,0.25
Eric Mangini,NYJ,2008,16,9,7,0,0.5625
Eric Mangini,CLE,2009,16,5,11,0,0.3125
Eric Mangini,CLE,2010,16,5,11,0,0.3125
Forrest Gregg,CLE,1975,14,3,11,0,0.2143
Forrest Gregg,CLE,1976,14,9,5,0,0.6429
Forrest Gregg,CLE,1977,13,6,7,0,0.4615
Forrest Gregg,CIN,1980,16,6,10,0,0.375
Forrest Gregg,CIN,1981,16,12,4,0,0.75
Forrest Gregg,CIN,1982,9,7,2,0,0.7778
Forrest Gregg,CIN,1983,16,7,9,0,0.4375
Forrest Gregg,GNB,1984,16,8,8,0,0.5
Forrest Gregg,GNB,1985,16,8,8,0,0.5
Forrest Gregg,GNB,1986,16,4,12,0,0.25
Forrest Gregg,GNB,1987,15,5,9,1,0.3667
Frank Gansz,KAN,1987,15,4,11,0,0.2667
Frank Gansz,KAN,1988,16,4,11,1,0.2812
Frank Kush,CLT,1982,9,0,8,1,0.0556
Frank Kush,CLT,1983,16,7,9,0,0.4375
Frank Kush,CLT,1984,15,4,11,0,0.2667
Frank Reich,CLT,2018,16,10,6,0,0.625
Frank Reich,CLT,2019,16,7,9,0,0.4375
Frank Reich,CLT,2020,16,11,5,0,0.6875
Frank Reich,CLT,2021,17,9,8,0,0.5294
Frank Reich,CLT,2022,9,3,5,1,0.3889
Frank Reich,CAR,2023,11,1,10,0,0.0909
Freddie Kitchens,CLE,2019,16,6,10,0,0.375
Gary Kubiak,HTX,2006,16,6,10,0,0.375
Gary Kubiak,HTX,2007,16,8,8,0,0.5
Gary Kubiak,HTX,2008,16,8,8,0,0.5
Gary Kubiak,HTX,2009,16,9,7,0,0.5625
Gary Kubiak,HTX,2010,16,6,10,0,0.375
Gary Kubiak,HTX,2011,16,10,6,0,0.625
Gary Kubiak,HTX,2012,16,12,4,0,0.75
Gary Kubiak,HTX,2013,13,2,11,0,0.1538
Gary Kubiak,DEN,2015,16,12,4,0,0.75
Gary Kubiak,DEN,2016,16,9,7,0,0.5625
Gene Stallings,CRD,1986,16,4,11,1,0.2812
Gene Stallings,CRD,1987,15,7,8,0,0.4667
Gene Stallings,CRD,1988,16,7,9,0,0.4375
Gene Stallings,CRD,1989,11,5,6,0,0.4545
George Allen,RAM,1970,14,9,4,1,0.6786
George Allen,WAS,1971,14,9,4,1,0.6786
George Allen,WAS,1972,14,11,3,0,0.7857
George Allen,WAS,1973,14,10,4,0,0.7143
George Allen,WAS,1974,14,10,4,0,0.7143
George Allen,WAS,1975,14,8,6,0,0.5714
George Allen,WAS,1976,14,10,4,0,0.7143
George Allen,WAS,1977,14,9,5,0,0.6429
George Seifert,SFO,1989,16,14,2,0,0.875
George Seifert,SFO,1990,16,14,2,0,0.875
George Seifert,SFO,1991,16,10,6,0,0.625
George Seifert,SFO,1992,16,14,2,0,0.875
George Seifert,SFO,1993,16,10,6,0,0.625
George Seifert,SFO,1994,16,13,3,0,0.8125
George Seifert,SFO,1995,16,11,5,0,0.6875
George Seifert,SFO,1996,16,12,4,0,0.75
George Seifert,CAR,1999,16,8,8,0,0.5
George Seifert,CAR,2000,16,7,9,0,0.4375
George Seifert,CAR,2001,16,1,15,0,0.0625
Greg Schiano,TAM,2012,16,7,9,0,0.4375
Greg Schiano,TAM,2013,16,4,12,0,0.25
Gregg Williams,BUF,2001,16,3,13,0,0.1875
Gregg Williams,BUF,2002,16,8,8,0,0.5
Gregg Williams,BUF,2003,16,6,10,0,0.375
Gunther Cunningham,KAN,1999,16,9,7,0,0.5625
Gunther Cunningham,KAN,2000,16,7,9,0,0.4375
Gus Bradley,JAX,2013,16,4,12,0,0.25
Gus Bradley,JAX,2014,16,3,13,0,0.1875
Gus Bradley,JAX,2015,16,5,11,0,0.3125
Gus Bradley,JAX,2016,14,2,12,0,0.1429
Hank Bullough,BUF,1986,9,2,7,0,0.2222
Hank Stram,KAN,1970,14,7,5,2,0.5714
Hank Stram,KAN,1971,14,10,3,1,0.75
Hank Stram,KAN,1972,14,8,6,0,0.5714
Hank Stram,KAN,1973,14,7,5,2,0.5714
Hank Stram,KAN,1974,14,5,9,0,0.3571
Hank Stram,NOR,1976,14,4,10,0,0.2857
Hank Stram,NOR,1977,14,3,11,0,0.2143
Harland Svare,SDG,1972,14,4,9,1,0.3214
Harland Svare,SDG,1973,8,1,6,1,0.1875
Harvey Johnson,BUF,1971,14,1,13,0,0.0714
Herm Edwards,NYJ,2001,16,10,6,0,0.625
Herm Edwards,NYJ,2002,16,9,7,0,0.5625
Herm Edwards,NYJ,2003,16,6,10,0,0.375
Herm Edwards,NYJ,2004,16,10,6,0,0.625
Herm Edwards,NYJ,2005,16,4,12,0,0.25
Herm Edwards,KAN,2006,16,9,7,0,0.5625
Herm Edwards,KAN,2007,16,4,12,0,0.25
Herm Edwards,KAN,2008,16,2,14,0,0.125
Homer Rice,CIN,1979,16,4,12,0,0.25
Howard Schnellenberger,CLT,1973,14,4,10,0,0.2857
Howard Schnellenberger,CLT,1974,3,0,3,0,0.0
Hue Jackson,RAI,2011,16,8,8,0,0.5
Hue Jackson,CLE,2016,16,1,15,0,0.0625
Hue Jackson,CLE,2017,16,0,16,0,0.0
Hue Jackson,CLE,2018,8,2,5,1,0.3125
Hugh Campbell,OTI,1984,16,3,13,0,0.1875
Hugh Campbell,OTI,1985,14,5,9,0,0.3571
J.D. Roberts,NOR,1970,7,1,6,0,0.1429
J.D. Roberts,NOR,1971,14,4,8,2,0.3571
J.D. Roberts,NOR,1972,14,2,11,1,0.1786
Jack Del Rio,JAX,2003,16,5,11,0,0.3125
Jack Del Rio,JAX,2004,16,9,7,0,0.5625
Jack Del Rio,JAX,2005,16,12,4,0,0.75
Jack Del Rio,JAX,2006,16,8,8,0,0.5
Jack Del Rio,JAX,2007,16,11,5,0,0.6875
Jack Del Rio,JAX,2008,16,5,11,0,0.3125
Jack Del Rio,JAX,2009,16,7,9,0,0.4375
Jack Del Rio,JAX,2010,16,8,8,0,0.5
Jack Del Rio,JAX,2011,11,3,8,0,0.2727
Jack Del Rio,RAI,2015,16,7,9,0,0.4375
Jack Del Rio,RAI,2016,16,12,4,0,0.75
Jack Del Rio,RAI,2017,16,6,10,0,0.375
Jack Pardee,CHI,1975,14,4,10,0,0.2857
Jack Pardee,CHI,1976,14,7,7,0,0.5
Jack Pardee,CHI,1977,14,9,5,0,0.6429
Jack Pardee,WAS,1978,16,8,8,0,0.5
Jack Pardee,WAS,1979,16,10,6,0,0.625
Jack Pardee,WAS,1980,16,6,10,0,0.375
Jack Pardee,OTI,1990,16,9,7,0,0.5625
Jack Pardee,OTI,1991,16,11,5,0,0.6875
Jack Pardee,OTI,1992,16,10,6,0,0.625
Jack Pardee,OTI,1993,16,12,4,0,0.75
Jack Pardee,OTI,1994,10,1,9,0,0.1
Jack Patera,SEA,1976,14,2,12,0,0.1429
Jack Patera,SEA,1977,14,5,9,0,0.3571
Jack Patera,SEA,1978,16,9,7,0,0.5625
Jack Patera,SEA,1979,16,9,7,0,0.5625
Jack Patera,SEA,1980,16,4,12,0,0.25
Jack Patera,SEA,1981,16,6,10,0,0.375
Jack Patera,SEA,1982,2,0,2,0,0.0
Jason Garrett,DAL,2011,16,8,8,0,0.5
Jason Garrett,DAL,2012,16,8,8,0,0.5
Jason Garrett,DAL,2013,16,8,8,0,0.5
Jason Garrett,DAL,2014,16,12,4,0,0.75
Jason Garrett,DAL,2015,16,4,12,0,0.25
Jason Garrett,DAL,2016,16,13,3,0,0.8125
Jason Garrett,DAL,2017,16,9,7,0,0.5625
Jason Garrett,DAL,2018,16,10,6,0,0.625
Jason Garrett,DAL,2019,16,8,8,0,0.5
Jay Gruden,WAS,2014,16,4,12,0,0.25
Jay Gruden,WAS,2015,16,9,7,0,0.5625
Jay Gruden,WAS,2016,16,8,7,1,0.5312
Jay Gruden,WAS,2017,16,7,9,0,0.4375
Jay Gruden,WAS,2018,16,7,9,0,0.4375
Jay Gruden,WAS,2019,5,0,5,0,0.0
Jeff Fisher,OTI,1995,16,7,9,0,0.4375
Jeff Fisher,OTI,1996,16,8,8,0,0.5
Jeff Fisher,OTI,1997,16,8,8,0,0.5
Jeff Fisher,OTI,1998,16,8,8,0,0.5
Jeff Fisher,OTI,1999,16,13,3,0,0.8125
Jeff Fisher,OTI,2000,16,13,3,0,0.8125
Jeff Fisher,OTI,2001,16,7,9,0,0.4375
Jeff Fisher,OTI,2002,16,11,5,0,0.6875
Jeff Fisher,OTI,2003,16,12,4,0,0.75
Jeff Fisher,OTI,2004,16,5,11,0,0.3125
Jeff Fisher,OTI,2005,16,4,12,0,0.25
Jeff Fisher,OTI,2006,16,8,8,0,0.5
Jeff Fisher,OTI,2007,16,10,6,0,0.625
Jeff Fisher,OTI,2008,16,13,3,0,0.8125
Jeff Fisher,OTI,2009,16,8,8,0,0.5
Jeff Fisher,OTI,2010,16,6,10,0,0.375
Jeff Fisher,RAM,2012,16,7,8,1,0.4688
Jeff Fisher,RAM,2013,16,7,9,0,0.4375
Jeff Fisher,RAM,2014,16,6,10,0,0.375
Jeff Fisher,RAM,2015,16,7,9,0,0.4375
Jeff Fisher,RAM,2016,13,4,9,0,0.3077
Jerod Mayo,NWE,2024,17,4,13,0,0.2353
Jerry Burns,MIN,1986,16,9,7,0,0.5625
Jerry Burns,MIN,1987,15,8,7,0,0.5333
Jerry Burns,MIN,1988,16,11,5,0,0.6875
Jerry Burns,MIN,1989,16,10,6,0,0.625
Jerry Burns,MIN,1990,16,6,10,0,0.375
Jerry Burns,MIN,1991,16,8,8,0,0.5
Jerry Glanville,OTI,1986,16,5,11,0,0.3125
Jerry Glanville,OTI,1987,15,9,6,0,0.6
Jerry Glanville,OTI,1988,16,10,6,0,0.625
Jerry Glanville,OTI,1989,16,9,7,0,0.5625
Jerry Glanville,ATL,1990,16,5,11,0,0.3125
Jerry Glanville,ATL,1991,16,10,6,0,0.625
Jerry Glanville,ATL,1992,16,6,10,0,0.375
Jerry Glanville,ATL,1993,16,6,10,0,0.375
Jerry Williams,PHI,1970,14,3,10,1,0.25
Jerry Williams,PHI,1971,3,0,3,0,0.0
Jim Caldwell,CLT,2009,16,14,2,0,0.875
Jim Caldwell,CLT,2010,16,10,6,0,0.625
Jim Caldwell,CLT,2011,16,2,14,0,0.125
Jim Caldwell,DET,2014,16,11,5,0,0.6875
Jim Caldwell,DET,2015,16,7,9,0,0.4375
Jim Caldwell,DET,2016,16,9,7,0,0.5625
Jim Caldwell,DET,2017,16,9,7,0,0.5625
Jim Dooley,CHI,1970,14,6,8,0,0.4286
Jim Dooley,CHI,1971,14,6,8,0,0.4286
Jim Fassel,NYG,1997,16,10,5,1,0.6562
Jim Fassel,NYG,1998,16,8,8,0,0.5
Jim Fassel,NYG,1999,16,7,9,0,0.4375
Jim Fassel,NYG,2000,16,12,4,0,0.75
Jim Fassel,NYG,2001,16,7,9,0,0.4375
Jim Fassel,NYG,2002,16,10,6,0,0.625
Jim Fassel,NYG,2003,16,4,12,0,0.25
Jim Hanifan,CRD,1980,16,5,11,0,0.3125
Jim Hanifan,CRD,1981,16,7,9,0,0.4375
Jim Hanifan,CRD,1982,9,5,4,0,0.5556
Jim Hanifan,CRD,1983,16,8,7,1,0.5312
Jim Hanifan,CRD,1984,16,9,7,0,0.5625
Jim Hanifan,CRD,1985,16,5,11,0,0.3125
Jim Harbaugh,SFO,2011,16,13,3,0,0.8125
Jim Harbaugh,SFO,2012,16,11,4,1,0.7188
Jim Harbaugh,SFO,2013,16,12,4,0,0.75
Jim Harbaugh,SFO,2014,16,8,8,0,0.5
Jim Harbaugh,SDG,2024,17,11,6,0,0.6471
Jim Haslett,NOR,2000,16,10,6,0,0.625
Jim Haslett,NOR,2001,16,7,9,0,0.4375
Jim Haslett,NOR,2002,16,9,7,0,0.5625
Jim Haslett,NOR,2003,16,8,8,0,0.5
Jim Haslett,NOR,2004,16,8,8,0,0.5
Jim Haslett,NOR,2005,16,3,13,0,0.1875
Jim Mora Jr,ATL,2004,16,11,5,0,0.6875
Jim Mora Jr,ATL,2005,16,8,8,0,0.5
Jim Mora Jr,ATL,2006,16,7,9,0,0.4375
Jim Mora Jr,SEA,2009,16,5,11,0,0.3125
Jim Mora Sr,NOR,1986,16,7,9,0,0.4375
Jim Mora Sr,NOR,1987,15,12,3,0,0.8
Jim Mora Sr,NOR,1988,16,10,6,0,0.625
Jim Mora Sr,NOR,1989,16,9,7,0,0.5625
Jim Mora Sr,NOR,1990,16,8,8,0,0.5
Jim Mora Sr,NOR,1991,16,11,5,0,0.6875
Jim Mora Sr,NOR,1992,16,12,4,0,0.75
Jim Mora Sr,NOR,1993,16,8,8,0,0.5
Jim Mora Sr,NOR,1994,16,7,9,0,0.4375
Jim Mora Sr,NOR,1995,16,7,9,0,0.4375
Jim Mora Sr,NOR,1996,8,2,6,0,0.25
Jim Mora Sr,CLT,1998,16,3,13,0,0.1875
Jim Mora Sr,CLT,1999,16,13,3,0,0.8125
Jim Mora Sr,CLT,2000,16,10,6,0,0.625
Jim Mora Sr,CLT,2001,16,6,10,0,0.375
Jim Ringo,BUF,1977,14,3,11,0,0.2143
Jim Schwartz,DET,2009,16,2,14,0,0.125
Jim Schwartz,DET,2010,16,6,10,0,0.375
Jim Schwartz,DET,2011,16,10,6,0,0.625
Jim Schwartz,DET,2012,16,4,12,0,0.25
Jim Schwartz,DET,2013,16,7,9,0,0.4375
Jim Tomsula,SFO,2015,16,5,11,0,0.3125
Jim Zorn,WAS,2008,16,8,8,0,0.5
Jim Zorn,WAS,2009,16,4,12,0,0.25
Jimmy Johnson,DAL,1989,16,1,15,0,0.0625
Jimmy Johnson,DAL,1990,16,7,9,0,0.4375
Jimmy Johnson,DAL,1991,16,11,5,0,0.6875
Jimmy Johnson,DAL,1992,16,13,3,0,0.8125
Jimmy Johnson,DAL,1993,16,12,4,0,0.75
Jimmy Johnson,MIA,1996,16,8,8,0,0.5
Jimmy Johnson,MIA,1997,16,9,7,0,0.5625
Jimmy Johnson,MIA,1998,16,10,6,0,0.625
Jimmy Johnson,MIA,1999,16,9,7,0,0.5625
Joe Bugel,CRD,1990,16,5,11,0,0.3125
Joe Bugel,CRD,1991,16,4,12,0,0.25
Joe Bugel,CRD,1992,16,4,12,0,0.25
Joe Bugel,CRD,1993,16,7,9,0,0.4375
Joe Bugel,RAI,1997,16,4,12,0,0.25
Joe Gibbs,WAS,1981,16,8,8,0,0.5
Joe Gibbs,WAS,1982,9,8,1,0,0.8889
Joe Gibbs,WAS,1983,16,14,2,0,0.875
Joe Gibbs,WAS,1984,16,11,5,0,0.6875
Joe Gibbs,WAS,1985,16,10,6,0,0.625
Joe Gibbs,WAS,1986,16,12,4,0,0.75
Joe Gibbs,WAS,1987,15,11,4,0,0.7333
Joe Gibbs,WAS,1988,16,7,9,0,0.4375
Joe Gibbs,WAS,1989,16,10,6,0,0.625
Joe Gibbs,WAS,1990,16,10,6,0,0.625
Joe Gibbs,WAS,1991,16,14,2,0,0.875
Joe Gibbs,WAS,1992,16,9,7,0,0.5625
Joe Gibbs,WAS,2004,16,6,10,0,0.375
Joe Gibbs,WAS,2005,16,10,6,0,0.625
Joe Gibbs,WAS,2006,16,5,11,0,0.3125
Joe Gibbs,WAS,2007,16,9,7,0,0.5625
Joe Judge,NYG,2020,16,6,10,0,0.375
Joe Judge,NYG,2021,17,4,13,0,0.2353
Joe Philbin,MIA,2012,16,7,9,0,0.4375
Joe Philbin,MIA,2013,16,8,8,0,0.5
Joe Philbin,MIA,2014,16,8,8,0,0.5
Joe Philbin,MIA,2015,4,1,3,0,0.25
Joe Schmidt,DET,1970,14,10,4,0,0.7143
Joe Schmidt,DET,1971,14,7,6,1,0.5357
Joe Schmidt,DET,1972,14,8,5,1,0.6071
Joe Vitt,NOR,2012,10,5,5,0,0.5
Joe Walton,NYJ,1983,16,7,9,0,0.4375
Joe Walton,NYJ,1984,16,7,9,0,0.4375
Joe Walton,NYJ,1985,16,11,5,0,0.6875
Joe Walton,NYJ,1986,16,10,6,0,0.625
Joe Walton,NYJ,1987,15,6,9,0,0.4
Joe Walton,NYJ,1988,16,8,7,1,0.5312
Joe Walton,NYJ,1989,16,4,12,0,0.25
John Fox,CAR,2002,16,7,9,0,0.4375
John Fox,CAR,2003,16,11,5,0,0.6875
John Fox,CAR,2004,16,7,9,0,0.4375
John Fox,CAR,2005,16,11,5,0,0.6875
John Fox,CAR,2006,16,8,8,0,0.5
John Fox,CAR,2007,16,7,9,0,0.4375
John Fox,CAR,2008,16,12,4,0,0.75
John Fox,CAR,2009,16,8,8,0,0.5
John Fox,CAR,2010,16,2,14,0,0.125
John Fox,DEN,2011,16,8,8,0,0.5
John Fox,DEN,2012,16,13,3,0,0.8125
John Fox,DEN,2013,16,13,3,0,0.8125
John Fox,DEN,2014,16,12,4,0,0.75
John Fox,CHI,2015,16,6,10,0,0.375
John Fox,CHI,2016,16,3,13,0,0.1875
John Fox,CHI,2017,16,5,11,0,0.3125
John Harbaugh,RAV,2008,16,11,5,0,0.6875
John Harbaugh,RAV,2009,16,9,7,0,0.5625
John Harbaugh,RAV,2010,16,12,4,0,0.75
John Harbaugh,RAV,2011,16,12,4,0,0.75
John Harbaugh,RAV,2012,16,10,6,0,0.625
John Harbaugh,RAV,2013,16,8,8,0,0.5
John Harbaugh,RAV,2014,16,10,6,0,0.625
John Harbaugh,RAV,2015,16,5,11,0,0.3125
John Harbaugh,RAV,2016,16,8,8,0,0.5
John Harbaugh,RAV,2017,16,9,7,0,0.5625
John Harbaugh,RAV,2018,16,10,6,0,0.625
John Harbaugh,RAV,2019,16,14,2,0,0.875
John Harbaugh,RAV,2020,16,11,5,0,0.6875
John Harbaugh,RAV,2021,17,8,9,0,0.4706
John Harbaugh,RAV,2022,17,10,7,0,0.5882
John Harbaugh,RAV,2023,17,13,4,0,0.7647
John Harbaugh,RAV,2024,17,12,5,0,0.7059
John Mackovic,KAN,1983,16,6,10,0,0.375
John Mackovic,KAN,1984,16,8,8,0,0.5
John Mackovic,KAN,1985,16,6,10,0,0.375
John Mackovic,KAN,1986,16,10,6,0,0.625
John Madden,RAI,1970,14,8,4,2,0.6429
John Madden,RAI,1971,14,8,4,2,0.6429
John Madden,RAI,1972,14,10,3,1,0.75
John Madden,RAI,1973,14,9,4,1,0.6786
John Madden,RAI,1974,14,12,2,0,0.8571
John Madden,RAI,1975,14,11,3,0,0.7857
John Madden,RAI,1976,14,13,1,0,0.9286
John Madden,RAI,1977,14,11,3,0,0.7857
John Madden,RAI,1978,16,9,7,0,0.5625
John Mazur,NWE,1971,14,6,8,0,0.4286
John Mazur,NWE,1972,9,2,7,0,0.2222
John McKay,TAM,1976,14,0,14,0,0.0
John McKay,TAM,1977,14,2,12,0,0.1429
John McKay,TAM,1978,16,5,11,0,0.3125
John McKay,TAM,1979,16,10,6,0,0.625
John McKay,TAM,1980,16,5,10,1,0.3438
John McKay,TAM,1981,16,9,7,0,0.5625
John McKay,TAM,1982,9,5,4,0,0.5556
John McKay,TAM,1983,16,2,14,0,0.125
John McKay,TAM,1984,16,6,10,0,0.375
John McVay,NYG,1977,14,5,9,0,0.3571
John McVay,NYG,1978,16,6,10,0,0.375
John North,NOR,1973,14,5,9,0,0.3571
John North,NOR,1974,14,5,9,0,0.3571
John North,NOR,1975,6,1,5,0,0.1667
John Ralston,DEN,1972,14,5,9,0,0.3571
John Ralston,DEN,1973,14,7,5,2,0.5714
John Ralston,DEN,1974,14,7,6,1,0.5357
John Ralston,DEN,1975,14,6,8,0,0.4286
John Ralston,DEN,1976,14,9,5,0,0.6429
John Rauch,BUF,1970,14,3,10,1,0.25
John Robinson,RAM,1983,16,9,7,0,0.5625
John Robinson,RAM,1984,16,10,6,0,0.625
John Robinson,RAM,1985,16,11,5,0,0.6875
John Robinson,RAM,1986,16,10,6,0,0.625
John Robinson,RAM,1987,15,6,9,0,0.4
John Robinson,RAM,1988,16,10,6,0,0.625
John Robinson,RAM,1989,16,11,5,0,0.6875
John Robinson,RAM,1990,16,5,11,0,0.3125
John Robinson,RAM,1991,16,3,13,0,0.1875
Jon Gruden,RAI,1998,16,8,8,0,0.5
Jon Gruden,RAI,1999,16,8,8,0,0.5
Jon Gruden,RAI,2000,16,12,4,0,0.75
Jon Gruden,RAI,2001,16,10,6,0,0.625
Jon Gruden,TAM,2002,16,12,4,0,0.75
Jon Gruden,TAM,2003,16,7,9,0,0.4375
Jon Gruden,TAM,2004,16,5,11,0,0.3125
Jon Gruden,TAM,2005,16,11,5,0,0.6875
Jon Gruden,TAM,2006,16,4,12,0,0.25
Jon Gruden,TAM,2007,16,9,7,0,0.5625
Jon Gruden,TAM,2008,16,9,7,0,0.5625
Jon Gruden,RAI,2018,16,4,12,0,0.25
Jon Gruden,RAI,2019,16,7,9,0,0.4375
Jon Gruden,RAI,2020,16,8,8,0,0.5
Jon Gruden,RAI,2021,5,3,2,0,0.6
Jonathan Gannon,CRD,2023,17,4,13,0,0.2353
Jonathan Gannon,CRD,2024,17,8,9,0,0.4706
Josh McDaniels,DEN,2009,16,8,8,0,0.5
Josh McDaniels,DEN,2010,12,3,9,0,0.25
Josh McDaniels,RAI,2022,17,6,11,0,0.3529
Josh McDaniels,RAI,2023,8,3,5,0,0.375
June Jones,ATL,1994,16,7,9,0,0.4375
June Jones,ATL,1995,16,9,7,0,0.5625
June Jones,ATL,1996,16,3,13,0,0.1875
Kay Stephenson,BUF,1983,16,8,8,0,0.5
Kay Stephenson,BUF,1984,16,2,14,0,0.125
Kay Stephenson,BUF,1985,4,0,4,0,0.0
Ken Meyer,SFO,1977,14,5,9,0,0.3571
Ken Whisenhunt,CRD,2007,16,8,8,0,0.5
Ken Whisenhunt,CRD,2008,16,9,7,0,0.5625
Ken Whisenhunt,CRD,2009,16,10,6,0,0.625
Ken Whisenhunt,CRD,2010,16,5,11,0,0.3125
Ken Whisenhunt,CRD,2011,16,8,8,0,0.5
Ken Whisenhunt,CRD,2012,16,5,11,0,0.3125
Ken Whisenhunt,OTI,2014,16,2,14,0,0.125
Ken Whisenhunt,OTI,2015,7,1,6,0,0.1429
Kevin Gilbride,SDG,1997,16,4,12,0,0.25
Kevin Gilbride,SDG,1998,6,2,4,0,0.3333
Kevin O'Connell,MIN,2022,17,13,4,0,0.7647
Kevin O'Connell,MIN,2023,17,7,10,0,0.4118
Kevin O'Connell,MIN,2024,17,14,3,0,0.8235
Kevin Stefanski,CLE,2020,16,11,5,0,0.6875
Kevin Stefanski,CLE,2021,17,8,9,0,0.4706
Kevin Stefanski,CLE,2022,17,7,10,0,0.4118
Kevin Stefanski,CLE,2023,17,11,6,0,0.6471
Kevin Stefanski,CLE,2024,17,3,14,0,0.1765
Kliff Kingsbury,CRD,2019,16,5,10,1,0.3438
Kliff Kingsbury,CRD,2020,16,8,8,0,0.5
Kliff Kingsbury,CRD,2021,17,11,6,0,0.6471
Kliff Kingsbury,CRD,2022,17,4,13,0,0.2353
Kyle Shanahan,SFO,2017,16,6,10,0,0.375
Kyle Shanahan,SFO,2018,16,4,12,0,0.25
Kyle Shanahan,SFO,2019,16,13,3,0,0.8125
Kyle Shanahan,SFO,2020,16,6,10,0,0.375
Kyle Shanahan,SFO,2021,17,10,7,0,0.5882
Kyle Shanahan,SFO,2022,17,13,4,0,0.7647
Kyle Shanahan,SFO,2023,17,12,5,0,0.7059
Kyle Shanahan,SFO,2024,17,6,11,0,0.3529
Lane Kiffin,RAI,2007,16,4,12,0,0.25
Lane Kiffin,RAI,2008,4,1,3,0,0.25
Leeman Bennett,ATL,1977,14,7,7,0,0.5
Leeman Bennett,ATL,1978,16,9,7,0,0.5625
Leeman Bennett,ATL,1979,16,6,10,0,0.375
Leeman Bennett,ATL,1980,16,12,4,0,0.75
Leeman Bennett,ATL,1981,16,7,9,0,0.4375
Leeman Bennett,ATL,1982,9,5,4,0,0.5556
Leeman Bennett,TAM,1985,16,2,14,0,0.125
Leeman Bennett,TAM,1986,16,2,14,0,0.125
Les Steckel,MIN,1984,16,3,13,0,0.1875
Leslie Frazier,MIN,2011,16,3,13,0,0.1875
Leslie Frazier,MIN,2012,16,10,6,0,0.625
Leslie Frazier,MIN,2013,16,5,10,1,0.3438
Lindy Infante,GNB,1988,16,4,12,0,0.25
Lindy Infante,GNB,1989,16,10,6,0,0.625
Lindy Infante,GNB,1990,16,6,10,0,0.375
Lindy Infante,GNB,1991,16,4,12,0,0.25
Lindy Infante,CLT,1996,16,9,7,0,0.5625
Lindy Infante,CLT,1997,16,3,13,0,0.1875
Lou Holtz,NYJ,1976,13,3,10,0,0.2308
Lou Saban,DEN,1970,14,5,8,1,0.3929
Lou Saban,DEN,1971,9,2,6,1,0.2778
Lou Saban,BUF,1972,14,4,9,1,0.3214
Lou Saban,BUF,1973,14,9,5,0,0.6429
Lou Saban,BUF,1974,14,9,5,0,0.6429
Lou Saban,BUF,1975,14,8,6,0,0.5714
Lou Saban,BUF,1976,5,2,3,0,0.4
Lovie Smith,CHI,2004,16,5,11,0,0.3125
Lovie Smith,CHI,2005,16,11,5,0,0.6875
Lovie Smith,CHI,2006,16,13,3,0,0.8125
Lovie Smith,CHI,2007,16,7,9,0,0.4375
Lovie Smith,CHI,2008,16,9,7,0,0.5625
Lovie Smith,CHI,2009,16,7,9,0,0.4375
Lovie Smith,CHI,2010,16,11,5,0,0.6875
Lovie Smith,CHI,2011,16,8,8,0,0.5
Lovie Smith,CHI,2012,16,10,6,0,0.625
Lovie Smith,TAM,2014,16,2,14,0,0.125
Lovie Smith,TAM,2015,16,6,10,0,0.375
Lovie Smith,HTX,2022,17,3,13,1,0.2059
Marc Trestman,CHI,2013,16,8,8,0,0.5
Marc Trestman,CHI,2014,16,5,11,0,0.3125
Marion Campbell,ATL,1975,14,4,10,0,0.2857
Marion Campbell,ATL,1976,5,1,4,0,0.2
Marion Campbell,PHI,1983,16,5,11,0,0.3125
Marion Campbell,PHI,1984,16,6,9,1,0.4062
