Team,Year,Primary_Coach,Combined_Coach,Total_Coaches
GNB,1975,Bart Starr,Bart Starr,1
GNB,1976,Bart Starr,Bart Starr,1
GNB,1977,Bart Starr,Bart Starr,1
GNB,1978,Bart Starr,Bart Starr,1
GNB,1979,Bart Starr,Bart Starr,1
GNB,1980,Bart Starr,Bart Starr,1
GNB,1981,Bart Starr,Bart Starr,1
GNB,1982,Bart Starr,Bart Starr,1
GNB,1983,Bart Starr,Bart Starr,1
GNB,1984,Forrest Gregg,Forrest Gregg,1
GNB,1985,Forrest Gregg,Forrest Gregg,1
GNB,1986,Forrest Gregg,Forrest Gregg,1
GNB,1987,Forrest Gregg,Forrest Gregg,1
GNB,1988,Lindy Infante,Lindy Infante,1
GNB,1989,Lindy Infante,Lindy Infante,1
GNB,1990,Lindy Infante,Lindy Infante,1
GNB,1991,Lindy Infante,Lindy Infante,1
GNB,1992,Mike Holmgren,Mike Holmgren,1
GNB,1993,Mike Holmgren,Mike Holmgren,1
GNB,1994,Mike Holmgren,Mike Holmgren,1
GNB,1995,Mike Holmgren,Mike Holmgren,1
GNB,1996,Mike Holmgren,Mike Holmgren,1
GNB,1997,Mike Holmgren,Mike Holmgren,1
GNB,1998,Mike Holmgren,Mike Holmgren,1
GNB,1999,Ray Rhodes,Ray Rhodes,1
GNB,2000,Mike Sherman,Mike Sherman,1
GNB,2001,Mike Sherman,Mike Sherman,1
GNB,2002,Mike Sherman,Mike Sherman,1
GNB,2003,Mike Sherman,Mike Sherman,1
GNB,2004,Mike Sherman,Mike Sherman,1
GNB,2005,Mike Sherman,Mike Sherman,1
GNB,2006,Mike McCarthy,Mike McCarthy,1
GNB,2007,Mike McCarthy,Mike McCarthy,1
GNB,2008,Mike McCarthy,Mike McCarthy,1
GNB,2009,Mike McCarthy,Mike McCarthy,1
GNB,2010,Mike McCarthy,Mike McCarthy,1
GNB,2011,Mike McCarthy,Mike McCarthy,1
GNB,2012,Mike McCarthy,Mike McCarthy,1
GNB,2013,Mike McCarthy,Mike McCarthy,1
GNB,2014,Mike McCarthy,Mike McCarthy,1
GNB,2015,Mike McCarthy,Mike McCarthy,1
GNB,2016,Mike McCarthy,Mike McCarthy,1
GNB,2017,Mike McCarthy,Mike McCarthy,1
GNB,2018,Mike McCarthy,Joe Philbin / Mike McCarthy,2
GNB,2019,Matt LaFleur,Matt LaFleur,1
GNB,2020,Matt LaFleur,Matt LaFleur,1
GNB,2021,Matt LaFleur,Matt LaFleur,1
GNB,2022,Matt LaFleur,Matt LaFleur,1
GNB,2023,Matt LaFleur,Matt LaFleur,1
GNB,2024,Matt LaFleur,Matt LaFleur,1
HTX,1970,Wally Lemm,Wally Lemm,1
HTX,1971,Ed Hughes,Ed Hughes,1
HTX,1972,Bill Peterson,Bill Peterson,1
HTX,1973,Bill Peterson,Bill Peterson / Sid Gillman,2
HTX,1974,Sid Gillman,Sid Gillman,1
HTX,1975,Bum Phillips,Bum Phillips,1
HTX,1976,Bum Phillips,Bum Phillips,1
HTX,1977,Bum Phillips,Bum Phillips,1
HTX,1978,Bum Phillips,Bum Phillips,1
HTX,1979,Bum Phillips,Bum Phillips,1
HTX,1980,Bum Phillips,Bum Phillips,1
HTX,1981,Ed Biles,Ed Biles,1
HTX,1982,Ed Biles,Ed Biles,1
HTX,1983,Ed Biles,Chuck Studley / Ed Biles,2
HTX,1984,Hugh Campbell,Hugh Campbell,1
HTX,1985,Hugh Campbell,Hugh Campbell / Jerry Glanville,2
HTX,1986,Jerry Glanville,Jerry Glanville,1
HTX,1987,Jerry Glanville,Jerry Glanville,1
HTX,1988,Jerry Glanville,Jerry Glanville,1
HTX,1989,Jerry Glanville,Jerry Glanville,1
HTX,1990,Jack Pardee,Jack Pardee,1
HTX,1991,Jack Pardee,Jack Pardee,1
HTX,1992,Jack Pardee,Jack Pardee,1
HTX,1993,Jack Pardee,Jack Pardee,1
HTX,1994,Jack Pardee,Jack Pardee / Jeff Fisher,2
HTX,1995,Jeff Fisher,Jeff Fisher,1
HTX,1996,Jeff Fisher,Jeff Fisher,1
HTX,2002,Dom Capers,Dom Capers,1
HTX,2003,Dom Capers,Dom Capers,1
HTX,2004,Dom Capers,Dom Capers,1
HTX,2005,Dom Capers,Dom Capers,1
HTX,2006,Gary Kubiak,Gary Kubiak,1
HTX,2007,Gary Kubiak,Gary Kubiak,1
HTX,2008,Gary Kubiak,Gary Kubiak,1
HTX,2009,Gary Kubiak,Gary Kubiak,1
HTX,2010,Gary Kubiak,Gary Kubiak,1
HTX,2011,Gary Kubiak,Gary Kubiak,1
HTX,2012,Gary Kubiak,Gary Kubiak,1
HTX,2013,Gary Kubiak,Gary Kubiak / Wade Phillips,2
HTX,2014,Bill O'Brien,Bill O'Brien,1
HTX,2015,Bill O'Brien,Bill O'Brien,1
HTX,2016,Bill O'Brien,Bill O'Brien,1
HTX,2017,Bill O'Brien,Bill O'Brien,1
HTX,2018,Bill O'Brien,Bill O'Brien,1
HTX,2019,Bill O'Brien,Bill O'Brien,1
HTX,2020,Bill O'Brien,Bill O'Brien / Romeo Crennel,2
HTX,2021,David Culley,David Culley,1
HTX,2022,Lovie Smith,Lovie Smith,1
HTX,2023,DeMeco Ryans,DeMeco Ryans,1
HTX,2024,DeMeco Ryans,DeMeco Ryans,1
JAX,1995,Tom Coughlin,Tom Coughlin,1
JAX,1996,Tom Coughlin,Tom Coughlin,1
JAX,1997,Tom Coughlin,Tom Coughlin,1
JAX,1998,Tom Coughlin,Tom Coughlin,1
JAX,1999,Tom Coughlin,Tom Coughlin,1
JAX,2000,Tom Coughlin,Tom Coughlin,1
JAX,2001,Tom Coughlin,Tom Coughlin,1
JAX,2002,Tom Coughlin,Tom Coughlin,1
JAX,2003,Jack Del Rio,Jack Del Rio,1
JAX,2004,Jack Del Rio,Jack Del Rio,1
JAX,2005,Jack Del Rio,Jack Del Rio,1
JAX,2006,Jack Del Rio,Jack Del Rio,1
JAX,2007,Jack Del Rio,Jack Del Rio,1
JAX,2008,Jack Del Rio,Jack Del Rio,1
JAX,2009,Jack Del Rio,Jack Del Rio,1
JAX,2010,Jack Del Rio,Jack Del Rio,1
JAX,2011,Jack Del Rio,Jack Del Rio / Mel Tucker,2
JAX,2012,Mike Mularkey,Mike Mularkey,1
JAX,2013,Gus Bradley,Gus Bradley,1
JAX,2014,Gus Bradley,Gus Bradley,1
JAX,2015,Gus Bradley,Gus Bradley,1
JAX,2016,Gus Bradley,Doug Marrone / Gus Bradley,2
JAX,2017,Doug Marrone,Doug Marrone,1
JAX,2018,Doug Marrone,Doug Marrone,1
JAX,2019,Doug Marrone,Doug Marrone,1
JAX,2020,Doug Marrone,Doug Marrone,1
JAX,2021,Darrell Bevell,Darrell Bevell / Urban Meyer,2
JAX,2022,Doug Pederson,Doug Pederson,1
JAX,2023,Doug Pederson,Doug Pederson,1
JAX,2024,Doug Pederson,Doug Pederson,1
KAN,1970,Hank Stram,Hank Stram,1
KAN,1971,Hank Stram,Hank Stram,1
KAN,1972,Hank Stram,Hank Stram,1
KAN,1973,Hank Stram,Hank Stram,1
KAN,1974,Hank Stram,Hank Stram,1
KAN,1975,Paul Wiggin,Paul Wiggin,1
KAN,1976,Paul Wiggin,Paul Wiggin,1
KAN,1977,Paul Wiggin,Paul Wiggin / Tom Bettis,2
KAN,1978,Marv Levy,Marv Levy,1
KAN,1979,Marv Levy,Marv Levy,1
KAN,1980,Marv Levy,Marv Levy,1
KAN,1981,Marv Levy,Marv Levy,1
KAN,1982,Marv Levy,Marv Levy,1
KAN,1983,John Mackovic,John Mackovic,1
KAN,1984,John Mackovic,John Mackovic,1
KAN,1985,John Mackovic,John Mackovic,1
KAN,1986,John Mackovic,John Mackovic,1
KAN,1987,Frank Gansz,Frank Gansz,1
KAN,1988,Frank Gansz,Frank Gansz,1
KAN,1989,Marty Schottenheimer,Marty Schottenheimer,1
KAN,1990,Marty Schottenheimer,Marty Schottenheimer,1
KAN,1991,Marty Schottenheimer,Marty Schottenheimer,1
KAN,1992,Marty Schottenheimer,Marty Schottenheimer,1
KAN,1993,Marty Schottenheimer,Marty Schottenheimer,1
KAN,1994,Marty Schottenheimer,Marty Schottenheimer,1
KAN,1995,Marty Schottenheimer,Marty Schottenheimer,1
KAN,1996,Marty Schottenheimer,Marty Schottenheimer,1
KAN,1997,Marty Schottenheimer,Marty Schottenheimer,1
KAN,1998,Marty Schottenheimer,Marty Schottenheimer,1
KAN,1999,Gunther Cunningham,Gunther Cunningham,1
KAN,2000,Gunther Cunningham,Gunther Cunningham,1
KAN,2001,Dick Vermeil,Dick Vermeil,1
KAN,2002,Dick Vermeil,Dick Vermeil,1
KAN,2003,Dick Vermeil,Dick Vermeil,1
KAN,2004,Dick Vermeil,Dick Vermeil,1
KAN,2005,Dick Vermeil,Dick Vermeil,1
KAN,2006,Herm Edwards,Herm Edwards,1
KAN,2007,Herm Edwards,Herm Edwards,1
KAN,2008,Herm Edwards,Herm Edwards,1
KAN,2009,Todd Haley,Todd Haley,1
KAN,2010,Todd Haley,Todd Haley,1
KAN,2011,Todd Haley,Romeo Crennel / Todd Haley,2
KAN,2012,Romeo Crennel,Romeo Crennel,1
KAN,2013,Andy Reid,Andy Reid,1
KAN,2014,Andy Reid,Andy Reid,1
KAN,2015,Andy Reid,Andy Reid,1
KAN,2016,Andy Reid,Andy Reid,1
KAN,2017,Andy Reid,Andy Reid,1
KAN,2018,Andy Reid,Andy Reid,1
KAN,2019,Andy Reid,Andy Reid,1
KAN,2020,Andy Reid,Andy Reid,1
KAN,2021,Andy Reid,Andy Reid,1
KAN,2022,Andy Reid,Andy Reid,1
KAN,2023,Andy Reid,Andy Reid,1
KAN,2024,Andy Reid,Andy Reid,1
LAR,2016,Jeff Fisher,Jeff Fisher / John Fassel,2
LAR,2017,Sean McVay,Sean McVay,1
LAR,2018,Sean McVay,Sean McVay,1
LAR,2019,Sean McVay,Sean McVay,1
LAR,2020,Sean McVay,Sean McVay,1
LAR,2021,Sean McVay,Sean McVay,1
LAR,2022,Sean McVay,Sean McVay,1
LAR,2023,Sean McVay,Sean McVay,1
LAR,2024,Sean McVay,Sean McVay,1
LVR,2020,Jon Gruden,Jon Gruden,1
LVR,2021,Jon Gruden,Jon Gruden / Rich Bisaccia,2
LVR,2022,Josh McDaniels,Josh McDaniels,1
LVR,2023,Josh McDaniels,Antonio Pierce / Josh McDaniels,2
LVR,2024,Antonio Pierce,Antonio Pierce,1
MIA,1970,Don Shula,Don Shula,1
MIA,1971,Don Shula,Don Shula,1
MIA,1972,Don Shula,Don Shula,1
MIA,1973,Don Shula,Don Shula,1
MIA,1974,Don Shula,Don Shula,1
MIA,1975,Don Shula,Don Shula,1
MIA,1976,Don Shula,Don Shula,1
MIA,1977,Don Shula,Don Shula,1
MIA,1978,Don Shula,Don Shula,1
MIA,1979,Don Shula,Don Shula,1
MIA,1980,Don Shula,Don Shula,1
MIA,1981,Don Shula,Don Shula,1
MIA,1982,Don Shula,Don Shula,1
MIA,1983,Don Shula,Don Shula,1
MIA,1984,Don Shula,Don Shula,1
MIA,1985,Don Shula,Don Shula,1
MIA,1986,Don Shula,Don Shula,1
MIA,1987,Don Shula,Don Shula,1
MIA,1988,Don Shula,Don Shula,1
MIA,1989,Don Shula,Don Shula,1
MIA,1990,Don Shula,Don Shula,1
MIA,1991,Don Shula,Don Shula,1
MIA,1992,Don Shula,Don Shula,1
MIA,1993,Don Shula,Don Shula,1
MIA,1994,Don Shula,Don Shula,1
MIA,1995,Don Shula,Don Shula,1
MIA,1996,Jimmy Johnson,Jimmy Johnson,1
MIA,1997,Jimmy Johnson,Jimmy Johnson,1
MIA,1998,Jimmy Johnson,Jimmy Johnson,1
MIA,1999,Jimmy Johnson,Jimmy Johnson,1
MIA,2000,Dave Wannstedt,Dave Wannstedt,1
MIA,2001,Dave Wannstedt,Dave Wannstedt,1
MIA,2002,Dave Wannstedt,Dave Wannstedt,1
MIA,2003,Dave Wannstedt,Dave Wannstedt,1
MIA,2004,Dave Wannstedt,Dave Wannstedt / Jim Bates,2
MIA,2005,Nick Saban,Nick Saban,1
MIA,2006,Nick Saban,Nick Saban,1
MIA,2007,Cam Cameron,Cam Cameron,1
MIA,2008,Tony Sparano,Tony Sparano,1
MIA,2009,Tony Sparano,Tony Sparano,1
MIA,2010,Tony Sparano,Tony Sparano,1
MIA,2011,Tony Sparano,Todd Bowles / Tony Sparano,2
MIA,2012,Joe Philbin,Joe Philbin,1
MIA,2013,Joe Philbin,Joe Philbin,1
MIA,2014,Joe Philbin,Joe Philbin,1
MIA,2015,Joe Philbin,Dan Campbell / Joe Philbin,2
MIA,2016,Adam Gase,Adam Gase,1
MIA,2017,Adam Gase,Adam Gase,1
MIA,2018,Adam Gase,Adam Gase,1
MIA,2019,Brian Flores,Brian Flores,1
MIA,2020,Brian Flores,Brian Flores,1
MIA,2021,Brian Flores,Brian Flores,1
MIA,2022,Mike McDaniel,Mike McDaniel,1
MIA,2023,Mike McDaniel,Mike McDaniel,1
MIA,2024,Mike McDaniel,Mike McDaniel,1
MIN,1970,Bud Grant,Bud Grant,1
MIN,1971,Bud Grant,Bud Grant,1
MIN,1972,Bud Grant,Bud Grant,1
MIN,1973,Bud Grant,Bud Grant,1
MIN,1974,Bud Grant,Bud Grant,1
MIN,1975,Bud Grant,Bud Grant,1
MIN,1976,Bud Grant,Bud Grant,1
MIN,1977,Bud Grant,Bud Grant,1
MIN,1978,Bud Grant,Bud Grant,1
MIN,1979,Bud Grant,Bud Grant,1
MIN,1980,Bud Grant,Bud Grant,1
MIN,1981,Bud Grant,Bud Grant,1
MIN,1982,Bud Grant,Bud Grant,1
MIN,1983,Bud Grant,Bud Grant,1
MIN,1984,Les Steckel,Les Steckel,1
MIN,1985,Bud Grant,Bud Grant,1
MIN,1986,Jerry Burns,Jerry Burns,1
MIN,1987,Jerry Burns,Jerry Burns,1
MIN,1988,Jerry Burns,Jerry Burns,1
MIN,1989,Jerry Burns,Jerry Burns,1
MIN,1990,Jerry Burns,Jerry Burns,1
MIN,1991,Jerry Burns,Jerry Burns,1
MIN,1992,Dennis Green,Dennis Green,1
MIN,1993,Dennis Green,Dennis Green,1
MIN,1994,Dennis Green,Dennis Green,1
MIN,1995,Dennis Green,Dennis Green,1
MIN,1996,Dennis Green,Dennis Green,1
MIN,1997,Dennis Green,Dennis Green,1
MIN,1998,Dennis Green,Dennis Green,1
MIN,1999,Dennis Green,Dennis Green,1
MIN,2000,Dennis Green,Dennis Green,1
MIN,2001,Dennis Green,Dennis Green / Mike Tice,2
MIN,2002,Mike Tice,Mike Tice,1
MIN,2003,Mike Tice,Mike Tice,1
MIN,2004,Mike Tice,Mike Tice,1
MIN,2005,Mike Tice,Mike Tice,1
MIN,2006,Brad Childress,Brad Childress,1
MIN,2007,Brad Childress,Brad Childress,1
MIN,2008,Brad Childress,Brad Childress,1
MIN,2009,Brad Childress,Brad Childress,1
MIN,2010,Brad Childress,Brad Childress / Leslie Frazier,2
MIN,2011,Leslie Frazier,Leslie Frazier,1
MIN,2012,Leslie Frazier,Leslie Frazier,1
MIN,2013,Leslie Frazier,Leslie Frazier,1
MIN,2014,Mike Zimmer,Mike Zimmer,1
MIN,2015,Mike Zimmer,Mike Zimmer,1
MIN,2016,Mike Zimmer,Mike Zimmer,1
MIN,2017,Mike Zimmer,Mike Zimmer,1
MIN,2018,Mike Zimmer,Mike Zimmer,1
MIN,2019,Mike Zimmer,Mike Zimmer,1
MIN,2020,Mike Zimmer,Mike Zimmer,1
MIN,2021,Mike Zimmer,Mike Zimmer,1
MIN,2022,Kevin O'Connell,Kevin O'Connell,1
MIN,2023,Kevin O'Connell,Kevin O'Connell,1
MIN,2024,Kevin O'Connell,Kevin O'Connell,1
NOR,1970,J.D. Roberts,J.D. Roberts / Tom Fears,2
NOR,1971,J.D. Roberts,J.D. Roberts,1
NOR,1972,J.D. Roberts,J.D. Roberts,1
NOR,1973,John North,John North,1
NOR,1974,John North,John North,1
NOR,1975,John North,Ernie Hefferle / John North,2
NOR,1976,Hank Stram,Hank Stram,1
NOR,1977,Hank Stram,Hank Stram,1
NOR,1978,Dick Nolan,Dick Nolan,1
NOR,1979,Dick Nolan,Dick Nolan,1
NOR,1980,Dick Nolan,Dick Nolan / Dick Stanfel,2
NOR,1981,Bum Phillips,Bum Phillips,1
NOR,1982,Bum Phillips,Bum Phillips,1
NOR,1983,Bum Phillips,Bum Phillips,1
NOR,1984,Bum Phillips,Bum Phillips,1
NOR,1985,Bum Phillips,Bum Phillips / Wade Phillips,2
NOR,1996,Rick Venturi,Rick Venturi,1
NOR,1997,Mike Ditka,Mike Ditka,1
NOR,1998,Mike Ditka,Mike Ditka,1
NOR,1999,Mike Ditka,Mike Ditka,1
NOR,2000,Jim Haslett,Jim Haslett,1
NOR,2001,Jim Haslett,Jim Haslett,1
NOR,2002,Jim Haslett,Jim Haslett,1
NOR,2003,Jim Haslett,Jim Haslett,1
NOR,2004,Jim Haslett,Jim Haslett,1
NOR,2005,Jim Haslett,Jim Haslett,1
NOR,2006,Sean Payton,Sean Payton,1
NOR,2007,Sean Payton,Sean Payton,1
NOR,2008,Sean Payton,Sean Payton,1
NOR,2009,Sean Payton,Sean Payton,1
NOR,2010,Sean Payton,Sean Payton,1
NOR,2011,Sean Payton,Sean Payton,1
NOR,2012,Aaron Kromer,Aaron Kromer / Joe Vitt,2
NOR,2013,Sean Payton,Sean Payton,1
NOR,2014,Sean Payton,Sean Payton,1
NOR,2015,Sean Payton,Sean Payton,1
NOR,2016,Sean Payton,Sean Payton,1
NOR,2017,Sean Payton,Sean Payton,1
NOR,2018,Sean Payton,Sean Payton,1
NOR,2019,Sean Payton,Sean Payton,1
NOR,2020,Sean Payton,Sean Payton,1
NOR,2021,Sean Payton,Sean Payton,1
NOR,2022,Dennis Allen,Dennis Allen,1
NOR,2023,Dennis Allen,Dennis Allen,1
NOR,2024,Dennis Allen,Darren Rizzi / Dennis Allen,2
NWE,1971,John Mazur,John Mazur,1
NWE,1972,John Mazur,John Mazur / Phil Bengtson,2
NWE,1973,Chuck Fairbanks,Chuck Fairbanks,1
NWE,1974,Chuck Fairbanks,Chuck Fairbanks,1
NWE,1975,Chuck Fairbanks,Chuck Fairbanks,1
NWE,1976,Chuck Fairbanks,Chuck Fairbanks,1
NWE,1977,Chuck Fairbanks,Chuck Fairbanks,1
NWE,1978,Chuck Fairbanks,Chuck Fairbanks / Hank Bullough / Ron Erhardt,3
NWE,1979,Ron Erhardt,Ron Erhardt,1
NWE,1980,Ron Erhardt,Ron Erhardt,1
NWE,1981,Ron Erhardt,Ron Erhardt,1
NWE,1982,Ron Meyer,Ron Meyer,1
NWE,1983,Ron Meyer,Ron Meyer,1
NWE,1984,Ron Meyer,Raymond Berry / Ron Meyer,2
NWE,1985,Raymond Berry,Raymond Berry,1
NWE,1986,Raymond Berry,Raymond Berry,1
NWE,1987,Raymond Berry,Raymond Berry,1
NWE,1988,Raymond Berry,Raymond Berry,1
NWE,1989,Raymond Berry,Raymond Berry,1
NWE,1990,Rod Rust,Rod Rust,1
NWE,1991,Dick MacPherson,Dick MacPherson,1
NWE,1992,Dick MacPherson,Dick MacPherson,1
NWE,1993,Bill Parcells,Bill Parcells,1
NWE,1994,Bill Parcells,Bill Parcells,1
NWE,1995,Bill Parcells,Bill Parcells,1
NWE,1996,Bill Parcells,Bill Parcells,1
NWE,1997,Pete Carroll,Pete Carroll,1
NWE,1998,Pete Carroll,Pete Carroll,1
NWE,1999,Pete Carroll,Pete Carroll,1
NWE,2000,Bill Belichick,Bill Belichick,1
NWE,2001,Bill Belichick,Bill Belichick,1
NWE,2002,Bill Belichick,Bill Belichick,1
NWE,2003,Bill Belichick,Bill Belichick,1
NWE,2004,Bill Belichick,Bill Belichick,1
NWE,2005,Bill Belichick,Bill Belichick,1
NWE,2006,Bill Belichick,Bill Belichick,1
NWE,2007,Bill Belichick,Bill Belichick,1
NWE,2008,Bill Belichick,Bill Belichick,1
NWE,2009,Bill Belichick,Bill Belichick,1
NWE,2010,Bill Belichick,Bill Belichick,1
NWE,2011,Bill Belichick,Bill Belichick,1
NWE,2012,Bill Belichick,Bill Belichick,1
NWE,2013,Bill Belichick,Bill Belichick,1
NWE,2014,Bill Belichick,Bill Belichick,1
NWE,2015,Bill Belichick,Bill Belichick,1
NWE,2016,Bill Belichick,Bill Belichick,1
NWE,2017,Bill Belichick,Bill Belichick,1
NWE,2018,Bill Belichick,Bill Belichick,1
NWE,2019,Bill Belichick,Bill Belichick,1
NWE,2020,Bill Belichick,Bill Belichick,1
NWE,2021,Bill Belichick,Bill Belichick,1
NWE,2022,Bill Belichick,Bill Belichick,1
NWE,2023,Bill Belichick,Bill Belichick,1
NWE,2024,Jerod Mayo,Jerod Mayo,1
NYG,1970,Alex Webster,Alex Webster,1
NYG,1971,Alex Webster,Alex Webster,1
NYG,1972,Alex Webster,Alex Webster,1
NYG,1973,Alex Webster,Alex Webster,1
NYG,1976,John McVay,John McVay,1
NYG,1977,John McVay,John McVay,1
NYG,1978,John McVay,John McVay,1
NYG,1979,Ray Perkins,Ray Perkins,1
NYG,1980,Ray Perkins,Ray Perkins,1
NYG,1981,Ray Perkins,Ray Perkins,1
NYG,1982,Ray Perkins,Ray Perkins,1
NYG,1983,Bill Parcells,Bill Parcells,1
NYG,1984,Bill Parcells,Bill Parcells,1
NYG,1985,Bill Parcells,Bill Parcells,1
NYG,1986,Bill Parcells,Bill Parcells,1
NYG,1987,Bill Parcells,Bill Parcells,1
NYG,1988,Bill Parcells,Bill Parcells,1
NYG,1989,Bill Parcells,Bill Parcells,1
NYG,1990,Bill Parcells,Bill Parcells,1
NYG,1991,Ray Handley,Ray Handley,1
NYG,1992,Ray Handley,Ray Handley,1
NYG,1993,Dan Reeves,Dan Reeves,1
NYG,1994,Dan Reeves,Dan Reeves,1
NYG,1995,Dan Reeves,Dan Reeves,1
NYG,1996,Dan Reeves,Dan Reeves,1
NYG,1997,Jim Fassel,Jim Fassel,1
NYG,1998,Jim Fassel,Jim Fassel,1
NYG,1999,Jim Fassel,Jim Fassel,1
NYG,2000,Jim Fassel,Jim Fassel,1
NYG,2001,Jim Fassel,Jim Fassel,1
NYG,2002,Jim Fassel,Jim Fassel,1
NYG,2003,Jim Fassel,Jim Fassel,1
NYG,2004,Tom Coughlin,Tom Coughlin,1
NYG,2005,Tom Coughlin,Tom Coughlin,1
NYG,2006,Tom Coughlin,Tom Coughlin,1
NYG,2007,Tom Coughlin,Tom Coughlin,1
NYG,2008,Tom Coughlin,Tom Coughlin,1
NYG,2009,Tom Coughlin,Tom Coughlin,1
NYG,2010,Tom Coughlin,Tom Coughlin,1
NYG,2011,Tom Coughlin,Tom Coughlin,1
NYG,2012,Tom Coughlin,Tom Coughlin,1
NYG,2013,Tom Coughlin,Tom Coughlin,1
NYG,2014,Tom Coughlin,Tom Coughlin,1
NYG,2015,Tom Coughlin,Tom Coughlin,1
NYG,2016,Ben McAdoo,Ben McAdoo,1
NYG,2017,Ben McAdoo,Ben McAdoo / Steve Spagnuolo,2
NYG,2018,Pat Shurmur,Pat Shurmur,1
NYG,2019,Pat Shurmur,Pat Shurmur,1
NYG,2020,Joe Judge,Joe Judge,1
NYG,2021,Joe Judge,Joe Judge,1
NYG,2022,Brian Daboll,Brian Daboll,1
NYG,2023,Brian Daboll,Brian Daboll,1
NYG,2024,Brian Daboll,Brian Daboll,1
NYJ,1970,Weeb Ewbank,Weeb Ewbank,1
NYJ,1971,Weeb Ewbank,Weeb Ewbank,1
NYJ,1972,Weeb Ewbank,Weeb Ewbank,1
NYJ,1973,Weeb Ewbank,Weeb Ewbank,1
NYJ,1974,Charley Winner,Charley Winner,1
NYJ,1975,Charley Winner,Charley Winner / Ken Shipp,2
NYJ,1976,Lou Holtz,Lou Holtz / Mike Holovak,2
NYJ,1977,Walt Michaels,Walt Michaels,1
NYJ,1978,Walt Michaels,Walt Michaels,1
NYJ,1979,Walt Michaels,Walt Michaels,1
NYJ,1980,Walt Michaels,Walt Michaels,1
NYJ,1981,Walt Michaels,Walt Michaels,1
NYJ,1982,Walt Michaels,Walt Michaels,1
NYJ,1983,Joe Walton,Joe Walton,1
NYJ,1984,Joe Walton,Joe Walton,1
NYJ,1985,Joe Walton,Joe Walton,1
NYJ,1986,Joe Walton,Joe Walton,1
NYJ,1987,Joe Walton,Joe Walton,1
NYJ,1988,Joe Walton,Joe Walton,1
NYJ,1989,Joe Walton,Joe Walton,1
NYJ,1990,Bruce Coslet,Bruce Coslet,1
NYJ,1991,Bruce Coslet,Bruce Coslet,1
NYJ,1992,Bruce Coslet,Bruce Coslet,1
NYJ,1993,Bruce Coslet,Bruce Coslet,1
NYJ,1994,Pete Carroll,Pete Carroll,1
NYJ,1995,Rich Kotite,Rich Kotite,1
NYJ,1996,Rich Kotite,Rich Kotite,1
NYJ,1997,Bill Parcells,Bill Parcells,1
NYJ,1998,Bill Parcells,Bill Parcells,1
NYJ,1999,Bill Parcells,Bill Parcells,1
NYJ,2000,Al Groh,Al Groh,1
NYJ,2001,Herm Edwards,Herm Edwards,1
NYJ,2002,Herm Edwards,Herm Edwards,1
NYJ,2003,Herm Edwards,Herm Edwards,1
NYJ,2004,Herm Edwards,Herm Edwards,1
NYJ,2005,Herm Edwards,Herm Edwards,1
NYJ,2006,Eric Mangini,Eric Mangini,1
NYJ,2007,Eric Mangini,Eric Mangini,1
NYJ,2008,Eric Mangini,Eric Mangini,1
NYJ,2009,Rex Ryan,Rex Ryan,1
NYJ,2010,Rex Ryan,Rex Ryan,1
NYJ,2011,Rex Ryan,Rex Ryan,1
NYJ,2012,Rex Ryan,Rex Ryan,1
NYJ,2013,Rex Ryan,Rex Ryan,1
NYJ,2014,Rex Ryan,Rex Ryan,1
NYJ,2015,Todd Bowles,Todd Bowles,1
NYJ,2016,Todd Bowles,Todd Bowles,1
NYJ,2017,Todd Bowles,Todd Bowles,1
NYJ,2018,Todd Bowles,Todd Bowles,1
NYJ,2019,Adam Gase,Adam Gase,1
NYJ,2020,Adam Gase,Adam Gase,1
NYJ,2021,Robert Saleh,Robert Saleh,1
NYJ,2022,Robert Saleh,Robert Saleh,1
NYJ,2023,Robert Saleh,Robert Saleh,1
NYJ,2024,Robert Saleh,Jeff Ulbrich / Robert Saleh,2
OTI,1997,Jeff Fisher,Jeff Fisher,1
OTI,1998,Jeff Fisher,Jeff Fisher,1
OTI,1999,Jeff Fisher,Jeff Fisher,1
OTI,2000,Jeff Fisher,Jeff Fisher,1
OTI,2001,Jeff Fisher,Jeff Fisher,1
OTI,2002,Jeff Fisher,Jeff Fisher,1
OTI,2003,Jeff Fisher,Jeff Fisher,1
OTI,2004,Jeff Fisher,Jeff Fisher,1
OTI,2005,Jeff Fisher,Jeff Fisher,1
OTI,2006,Jeff Fisher,Jeff Fisher,1
OTI,2007,Jeff Fisher,Jeff Fisher,1
OTI,2008,Jeff Fisher,Jeff Fisher,1
OTI,2009,Jeff Fisher,Jeff Fisher,1
OTI,2010,Jeff Fisher,Jeff Fisher,1
OTI,2011,Mike Munchak,Mike Munchak,1
OTI,2012,Mike Munchak,Mike Munchak,1
OTI,2013,Mike Munchak,Mike Munchak,1
OTI,2014,Ken Whisenhunt,Ken Whisenhunt,1
OTI,2015,Ken Whisenhunt,Ken Whisenhunt / Mike Mularkey,2
OTI,2016,Mike Mularkey,Mike Mularkey,1
OTI,2017,Mike Mularkey,Mike Mularkey,1
OTI,2018,Mike Vrabel,Mike Vrabel,1
OTI,2019,Mike Vrabel,Mike Vrabel,1
OTI,2020,Mike Vrabel,Mike Vrabel,1
OTI,2021,Mike Vrabel,Mike Vrabel,1
OTI,2022,Mike Vrabel,Mike Vrabel,1
