PFR_Team,Year,QB_Pct,RB_Pct,WR_Pct,TE_Pct,OL_Pct,DL_Pct,LB_Pct,SEC_Pct,K_Pct,P_Pct,LS_Pct,Off_Pct,Def_Pct,SPT_Pct,Total_Pct
MIA,2018,6.24,2.46,15.4,3.57,19.43,31.25,10.29,10.37,0.29,0.33,0.38,47.1,51.9,1.0,100.0
MIN,2018,13.46,4.29,9.35,5.13,13.68,22.67,9.69,19.72,1.06,0.28,0.47,45.92,52.08,1.82,100.0
NOR,2018,15.39,5.47,7.52,7.5,21.3,17.71,9.74,12.61,0.36,1.51,0.32,57.19,40.06,2.18,100.0
NWE,2018,13.31,5.06,9.74,9.13,12.58,10.78,11.33,22.65,2.84,1.14,0.49,49.83,44.75,4.47,100.0
NYG,2018,13.82,6.5,9.04,4.26,15.47,16.17,18.06,14.74,0.33,0.97,0.6,49.08,48.98,1.89,100.0
NYJ,2018,10.19,5.28,11.49,2.18,22.07,15.18,9.9,22.35,0.68,0.37,0.32,51.2,47.44,1.37,100.0
PHI,2018,12.54,3.11,10.48,5.04,20.84,27.48,5.78,13.49,0.33,0.43,0.47,52.02,46.75,1.23,100.0
PIT,2018,15.41,1.36,8.19,3.59,21.7,11.56,14.4,19.28,2.0,1.18,0.45,50.25,45.24,3.63,100.0
RAI,2018,14.63,4.12,14.46,6.62,21.76,14.19,7.78,13.34,0.67,0.38,1.03,61.59,35.3,2.09,100.0
RAM,2018,4.93,5.03,10.81,1.56,17.26,23.59,12.89,19.55,2.09,1.49,0.75,39.59,56.03,4.33,100.0
SEA,2018,14.68,3.16,13.12,2.15,13.7,12.67,15.17,22.78,1.15,0.66,0.36,46.81,50.62,2.17,100.0
SFO,2018,20.43,4.57,10.16,4.15,19.22,11.57,12.09,13.51,1.13,0.38,0.53,58.54,37.17,2.03,100.0
TAM,2018,6.66,2.4,18.45,5.77,13.86,28.37,7.92,12.25,2.41,1.58,0.33,47.14,48.54,4.32,100.0
WAS,2018,12.96,4.37,7.0,9.56,20.35,9.91,14.09,19.16,0.93,1.01,0.67,54.25,43.15,2.6,100.0
ATL,2019,9.32,5.64,10.37,4.0,20.69,21.81,4.51,17.78,2.61,1.68,0.86,50.01,44.1,5.15,100.0
BUF,2019,5.17,4.77,11.77,8.51,18.74,27.38,6.55,12.22,2.88,0.33,0.49,48.94,46.15,3.69,100.0
CAR,2019,13.28,3.47,6.46,5.3,15.48,18.71,21.92,11.42,2.21,0.76,0.64,44.0,52.05,3.61,100.0
CHI,2019,7.81,2.05,16.27,7.6,11.1,10.41,19.33,21.6,2.49,0.9,0.45,44.83,51.33,3.84,100.0
CIN,2019,9.59,4.67,15.99,6.54,18.75,17.64,6.28,17.26,0.99,1.49,0.6,55.54,41.18,3.08,100.0
CLE,2019,5.6,3.14,17.82,3.83,21.09,19.83,8.55,19.14,0.28,0.24,0.38,51.47,47.52,0.9,100.0
CLT,2019,15.95,1.92,16.37,7.34,15.12,19.44,2.85,16.63,2.03,1.53,0.8,56.72,38.92,4.37,100.0
CRD,2019,12.8,6.47,10.56,5.03,20.72,8.1,18.38,15.98,0.34,1.07,0.55,55.58,42.46,1.96,100.0
DAL,2019,1.63,4.09,15.36,3.15,29.19,23.4,9.52,10.71,0.35,1.26,0.41,53.42,43.64,2.01,100.0
DEN,2019,8.76,2.79,8.59,4.29,15.4,11.07,24.47,20.77,2.2,0.49,0.55,39.84,56.31,3.24,100.0
DET,2019,18.11,3.56,9.87,4.08,16.98,14.37,8.8,20.28,1.92,1.34,0.42,52.6,43.45,3.68,100.0
GNB,2019,15.84,1.42,8.9,8.46,24.41,6.4,18.17,12.64,2.53,0.32,0.31,59.04,37.21,3.16,100.0
JAX,2019,15.05,5.53,7.75,3.78,17.12,22.16,6.81,20.1,1.12,0.31,0.27,49.23,49.07,1.7,100.0
KAN,2019,5.67,4.49,16.11,7.86,19.09,12.98,11.74,18.34,0.81,1.93,0.56,53.21,43.06,3.3,100.0
MIA,2019,14.53,1.97,13.39,3.03,10.5,16.03,5.47,33.69,0.34,0.37,0.38,43.42,55.2,1.08,100.0
MIN,2019,15.73,1.97,13.22,3.24,13.76,20.1,7.2,22.45,1.15,0.34,0.32,47.93,49.76,1.81,100.0
NOR,2019,15.62,2.17,8.62,5.3,24.13,14.06,11.13,14.71,1.01,2.26,0.35,55.84,39.9,3.62,100.0
NWE,2019,12.54,6.35,14.85,2.84,13.29,8.66,13.06,25.15,1.57,0.34,0.49,49.87,46.87,2.41,100.0
NYG,2019,15.48,4.52,16.66,5.14,15.44,7.31,18.47,15.38,0.33,0.46,0.48,57.24,41.16,1.27,100.0
NYJ,2019,5.1,7.31,10.76,1.63,20.85,17.88,16.48,18.31,0.53,0.39,0.41,45.66,52.66,1.33,100.0
PHI,2019,9.87,3.6,12.17,5.0,22.15,21.87,7.04,17.15,0.38,0.34,0.42,52.8,46.06,1.14,100.0
PIT,2019,13.68,1.46,13.92,4.4,18.75,15.4,13.78,14.67,2.03,0.74,0.35,52.21,43.85,3.12,100.0
RAI,2019,14.92,4.4,11.45,3.92,25.29,13.2,6.39,19.08,0.34,0.32,0.35,59.98,38.66,1.0,100.0
RAM,2019,6.5,6.88,15.07,2.35,18.24,17.26,14.94,15.44,1.43,1.21,0.69,49.04,47.64,3.33,100.0
SEA,2019,14.64,2.73,11.2,3.85,18.48,16.1,16.11,14.16,1.35,0.67,0.48,50.89,46.36,2.5,100.0
SFO,2019,9.77,5.81,10.8,2.15,18.01,22.06,11.93,14.57,1.82,0.31,0.12,46.53,48.56,2.26,100.0
TAM,2019,12.6,2.71,12.15,6.35,23.44,17.02,15.44,8.2,0.42,1.41,0.27,57.25,40.66,2.09,100.0
WAS,2019,16.6,4.87,7.2,9.64,17.82,8.13,14.25,17.77,1.79,1.11,0.6,56.12,40.15,3.49,100.0
ATL,2020,10.8,7.72,14.43,1.95,23.68,17.46,6.91,15.1,0.47,0.32,0.53,58.58,39.47,1.31,100.0
BUF,2020,4.03,2.54,17.15,4.69,19.86,24.22,7.96,17.5,0.71,0.34,0.45,48.27,49.69,1.5,100.0
CAR,2020,8.59,6.15,10.44,3.43,27.27,18.78,10.88,11.49,1.16,0.84,0.58,55.87,41.14,2.58,100.0
CHI,2020,8.05,3.16,13.95,7.72,15.4,11.72,22.31,14.99,1.35,0.9,0.43,48.29,49.02,2.69,100.0
CIN,2020,4.03,5.23,19.07,5.15,15.34,20.43,4.21,23.14,1.27,1.54,0.59,48.82,47.77,3.41,100.0
CLE,2020,6.07,4.47,16.91,4.87,21.86,17.15,10.77,15.78,0.55,0.34,0.5,54.18,43.7,1.4,100.0
CLT,2020,24.44,2.57,8.95,4.75,22.24,22.33,3.44,9.64,0.3,0.93,0.39,62.96,35.41,1.63,100.0
CRD,2020,4.93,8.9,12.15,3.13,15.14,7.63,27.84,16.73,1.9,1.04,0.6,44.25,52.21,3.54,100.0
DAL,2020,18.75,6.75,9.63,3.46,17.96,18.68,10.26,11.51,1.03,1.43,0.47,56.55,40.45,2.93,100.0
DEN,2020,9.11,5.04,4.85,4.38,13.04,12.49,22.35,24.69,2.46,0.78,0.31,36.4,59.53,3.55,100.0
DET,2020,11.86,2.62,9.69,5.48,14.91,20.2,9.1,22.33,1.94,0.66,0.5,44.56,51.63,3.09,100.0
GNB,2020,12.33,3.58,10.29,4.37,23.83,8.4,21.36,12.74,2.01,0.44,0.39,54.4,42.5,2.83,100.0
JAX,2020,11.67,4.85,9.09,3.88,18.34,15.38,18.46,14.43,2.62,0.48,0.33,47.83,48.27,3.43,100.0
KAN,2020,3.79,2.14,17.41,6.23,17.91,21.1,10.54,17.92,1.48,0.61,0.47,47.47,49.56,2.56,100.0
MIA,2020,9.23,5.83,7.34,2.27,12.8,14.72,11.86,33.79,0.38,1.05,0.39,37.48,60.37,1.82,100.0
MIN,2020,11.21,3.67,14.49,5.93,12.5,15.26,13.8,19.62,1.17,0.93,0.5,47.81,48.68,2.6,100.0
NOR,2020,18.34,5.21,8.24,6.98,16.89,16.33,8.73,13.62,2.16,2.51,0.52,55.67,38.68,5.19,100.0
NWE,2020,8.78,6.38,12.3,1.58,21.15,12.44,4.44,30.2,1.3,0.4,0.58,50.19,47.07,2.28,100.0
NYG,2020,4.79,6.73,12.94,5.51,18.95,12.98,15.55,18.22,1.68,1.45,0.57,48.93,46.75,3.69,100.0
NYJ,2020,5.98,9.76,18.34,2.92,16.76,12.33,14.94,17.08,0.59,0.36,0.52,53.75,44.36,1.46,100.0
PHI,2020,10.85,2.02,15.4,7.99,20.0,21.2,5.33,14.98,1.31,0.37,0.55,56.27,41.5,2.23,100.0
PIT,2020,13.33,2.18,4.1,4.36,19.07,16.62,20.2,15.66,1.42,0.96,0.59,43.04,52.48,2.96,100.0
RAI,2020,14.78,3.78,8.8,7.39,24.96,15.6,8.67,14.56,0.42,0.36,0.35,59.72,38.83,1.13,100.0
RAM,2020,15.14,7.1,19.49,6.46,11.76,17.83,8.83,9.9,0.53,2.39,0.56,59.95,36.56,3.48,100.0
SEA,2020,15.96,5.02,9.14,7.41,15.92,16.14,14.95,12.08,1.79,0.41,0.52,53.46,43.16,2.72,100.0
SFO,2020,13.9,6.24,6.58,4.41,18.44,19.69,4.95,18.66,2.47,0.43,0.85,49.57,43.3,3.75,100.0
TAM,2020,13.93,3.68,7.83,9.54,20.27,10.7,25.03,6.8,0.51,1.36,0.36,55.25,42.53,2.22,100.0
WAS,2020,15.55,3.02,6.53,4.11,20.93,20.02,7.7,18.4,1.78,1.35,0.62,50.14,46.11,3.75,100.0
ATL,2021,15.54,4.14,9.32,6.53,17.63,17.3,14.39,12.73,0.53,0.66,0.46,53.15,44.42,1.64,100.0
BUF,2021,7.3,2.94,12.54,1.33,21.27,24.89,12.48,14.47,0.77,0.85,0.77,45.37,51.83,2.38,100.0
CAR,2021,16.2,5.52,9.8,2.97,12.66,19.79,12.23,17.49,1.42,0.76,0.79,47.14,49.51,2.98,100.0
CHI,2021,8.03,3.74,13.7,5.76,13.45,15.39,22.81,15.17,0.86,0.57,0.52,44.67,53.36,1.96,100.0
CIN,2021,5.41,6.2,11.03,4.61,16.5,26.59,3.97,23.97,0.41,0.66,0.66,43.75,54.53,1.73,100.0
CLE,2021,9.1,5.65,17.56,8.16,24.1,14.65,4.48,13.75,0.69,0.47,0.57,64.56,32.88,1.73,100.0
CLT,2021,12.27,4.0,8.92,5.53,23.6,22.62,7.24,13.53,0.65,1.07,0.57,54.32,43.4,2.28,100.0
CRD,2021,6.05,2.45,12.16,6.12,20.78,9.68,28.75,11.56,1.05,0.59,0.82,47.56,49.99,2.45,100.0
DAL,2021,9.34,4.89,16.52,4.3,19.1,21.18,10.55,10.51,1.4,0.94,0.48,54.15,42.24,2.82,100.0
DEN,2021,4.2,7.46,8.97,3.87,17.27,7.77,22.95,24.39,1.23,1.48,0.41,41.76,55.11,3.12,100.0
DET,2021,18.33,2.88,5.81,6.65,16.61,7.56,23.06,16.66,1.16,0.41,0.37,50.29,47.29,1.94,100.0
GNB,2021,16.64,3.77,14.39,3.58,15.55,8.76,20.68,13.72,1.84,0.59,0.48,53.94,43.16,2.91,100.0
HTX,2021,12.75,6.42,9.91,3.86,17.92,10.39,16.19,17.94,2.36,1.7,0.53,50.87,44.52,4.59,100.0
JAX,2021,5.05,3.73,8.37,4.48,28.67,11.7,19.16,14.69,2.79,0.94,0.43,50.3,45.55,4.16,100.0
KAN,2021,5.19,3.34,12.27,5.53,15.7,26.76,9.75,17.71,2.15,0.46,0.68,42.03,54.22,3.29,100.0
MIA,2021,6.24,3.41,20.6,5.28,13.46,13.73,8.6,25.93,1.74,0.56,0.43,48.99,48.25,2.73,100.0
MIN,2021,17.77,4.03,7.9,3.58,12.2,19.47,12.71,17.32,1.54,1.41,0.47,45.49,49.5,3.42,100.0
NOR,2021,12.24,5.27,11.4,3.58,17.25,17.79,6.67,20.92,2.14,1.44,0.64,49.74,45.37,4.21,100.0
NWE,2021,4.21,3.74,11.03,7.76,16.53,10.04,16.16,27.56,1.43,0.48,0.59,43.27,53.76,2.5,100.0
NYG,2021,4.9,7.4,12.71,7.48,18.7,11.53,9.26,22.65,2.14,1.52,0.66,51.2,43.45,4.32,100.0
NYJ,2021,6.57,4.21,16.17,3.98,22.5,19.42,8.13,16.67,0.35,0.56,0.54,53.44,44.22,1.46,100.0
OTI,2021,6.65,9.19,9.02,4.12,27.17,6.59,11.89,21.1,0.87,1.83,0.78,56.15,39.58,3.49,100.0
PHI,2021,19.85,2.13,11.59,6.65,20.84,23.37,2.43,10.7,1.11,0.36,0.97,61.06,36.49,2.44,100.0
PIT,2021,16.97,3.14,5.05,5.61,14.98,14.49,12.97,21.35,2.74,0.52,0.51,45.75,48.8,3.76,100.0
RAI,2021,14.72,5.63,7.34,5.15,23.71,16.81,10.98,11.97,1.85,0.66,0.72,56.56,39.76,3.23,100.0
RAM,2021,25.09,8.31,10.61,4.77,10.81,15.82,8.72,12.87,0.51,2.0,0.49,59.59,37.41,3.01,100.0
RAV,2021,2.34,4.99,8.09,6.41,15.51,18.22,10.93,27.48,1.9,1.6,0.36,37.34,56.62,3.86,100.0
SDG,2021,4.89,4.68,19.26,4.4,17.44,11.58,17.99,17.86,0.56,0.46,0.48,50.68,47.42,1.5,100.0
SEA,2021,19.55,5.3,7.81,3.9,17.28,15.22,13.65,11.77,2.52,1.37,0.65,53.84,40.64,4.54,100.0
SFO,2021,16.94,5.76,6.61,4.75,17.41,22.6,8.73,13.49,1.44,0.54,0.49,51.47,44.83,2.47,100.0
TAM,2021,7.67,4.5,17.57,6.34,18.81,11.46,19.34,9.83,2.11,1.6,0.78,54.89,40.63,4.49,100.0
WAS,2021,13.34,2.71,6.36,3.56,24.0,18.0,5.87,23.3,1.05,1.35,0.36,49.98,47.18,2.75,100.0
ATL,2022,22.8,3.48,13.15,5.92,16.49,13.43,11.05,10.02,1.49,0.76,0.59,61.83,34.5,2.84,100.0
BUF,2022,9.92,4.07,11.24,2.98,17.49,17.64,12.06,22.07,0.45,0.72,0.75,45.72,51.77,1.92,100.0
CAR,2022,12.09,5.98,12.93,2.87,21.55,11.89,14.96,14.47,1.42,0.89,0.53,55.42,41.32,2.84,100.0
CHI,2022,9.69,4.76,5.79,5.07,15.77,20.32,21.25,13.95,1.57,0.35,0.52,41.08,55.52,2.44,100.0
CIN,2022,5.55,7.42,11.28,3.49,17.52,23.86,4.31,24.07,0.43,1.15,0.93,45.26,52.23,2.51,100.0
CLE,2022,15.41,7.32,7.87,5.38,21.66,18.88,6.32,15.16,0.48,0.8,0.72,57.64,40.36,2.0,100.0
CLT,2022,10.98,3.8,5.77,4.98,21.77,25.55,10.14,14.28,0.65,1.58,0.51,47.3,49.97,2.73,100.0
CRD,2022,8.02,3.72,13.97,4.32,22.62,13.74,14.49,15.65,2.32,0.57,0.58,52.65,43.88,3.48,100.0
DAL,2022,9.8,9.9,9.54,7.49,21.89,13.56,10.17,15.06,0.64,1.02,0.82,58.61,38.8,2.48,100.0
DEN,2022,9.12,4.64,9.47,3.35,24.43,10.8,10.82,23.56,2.0,0.62,0.62,51.0,45.17,3.24,100.0
DET,2022,16.09,4.26,7.76,4.04,19.96,16.94,15.53,13.16,0.57,0.58,0.39,52.11,45.63,1.54,100.0
GNB,2022,15.16,4.32,6.83,5.39,17.42,11.38,19.4,16.6,2.4,0.77,0.34,49.12,47.38,3.5,100.0
JAX,2022,5.04,2.56,13.1,7.33,12.39,14.86,20.02,22.22,0.87,1.16,0.45,40.42,57.09,2.49,100.0
KAN,2022,18.92,3.16,9.07,5.73,17.3,27.6,6.1,9.05,1.5,0.44,0.62,54.18,42.75,2.56,100.0
MIA,2022,7.48,5.55,14.55,9.41,12.89,11.98,14.62,19.51,1.51,0.5,0.45,49.89,46.11,2.46,100.0
MIN,2022,16.15,7.16,10.09,3.93,11.82,11.86,22.51,12.49,1.17,0.68,0.5,49.14,46.86,2.35,100.0
NOR,2022,10.61,5.71,13.28,5.16,23.29,16.72,5.88,15.36,2.69,0.4,0.61,58.05,37.96,3.7,100.0
NWE,2022,3.2,2.13,18.63,11.64,14.61,12.96,13.61,20.07,1.17,1.27,0.7,50.22,46.63,3.14,100.0
NYG,2022,5.64,5.19,18.33,2.54,17.29,13.36,10.38,24.19,1.43,0.68,0.52,49.0,47.94,2.63,100.0
NYJ,2022,7.23,2.79,12.98,4.47,25.59,23.59,6.99,13.65,1.33,0.47,0.57,53.06,44.23,2.37,100.0
PHI,2022,3.3,2.57,9.83,4.72,20.89,36.58,5.19,14.37,1.33,0.56,0.67,41.31,56.14,2.55,100.0
PIT,2022,9.79,2.83,10.67,3.36,9.59,19.82,22.33,15.99,2.57,0.42,0.39,36.24,58.14,3.38,100.0
RAI,2022,10.72,6.96,13.28,7.69,11.77,23.55,9.71,11.93,2.12,1.0,0.52,50.42,45.19,3.64,100.0
RAM,2022,8.31,2.42,20.78,2.89,12.25,22.68,7.59,20.36,1.27,0.95,0.5,46.64,50.64,2.72,100.0
SEA,2022,14.51,5.96,11.41,4.78,13.23,17.8,9.47,15.96,2.32,2.03,0.96,49.9,43.24,5.31,100.0
SFO,2022,11.84,2.43,8.11,5.19,16.96,22.58,11.38,16.03,2.68,0.83,0.54,44.53,49.99,4.05,100.0
TAM,2022,8.01,3.79,13.39,5.91,22.08,12.4,19.41,12.07,1.97,0.43,0.55,53.17,43.88,2.96,100.0
WAS,2022,15.67,2.61,13.71,4.55,18.0,19.37,5.05,17.99,0.96,1.48,0.41,54.54,42.42,2.85,100.0
ATL,2023,4.47,5.26,5.45,8.12,23.54,19.41,15.69,13.83,2.14,1.2,0.39,46.82,48.93,3.73,100.0
BUF,2023,8.83,3.9,11.58,4.8,17.82,19.72,6.24,23.9,0.91,0.95,0.47,46.92,49.86,2.34,100.0
CAR,2023,4.04,10.06,16.17,3.57,16.99,11.9,18.63,15.85,0.97,0.92,0.5,50.84,46.38,2.39,100.0
CHI,2023,4.36,3.44,13.0,5.49,18.58,24.73,12.27,14.03,2.25,0.39,0.49,44.87,51.03,3.13,100.0
CIN,2023,9.83,5.42,12.45,2.29,21.88,27.93,6.8,12.17,0.48,0.36,0.41,51.86,46.9,1.25,100.0
CLE,2023,10.78,8.42,15.55,7.71,15.7,16.43,6.83,15.85,1.25,0.87,0.6,58.16,39.11,2.73,100.0
CLT,2023,13.54,5.19,5.61,4.24,23.37,20.12,13.86,10.77,1.38,1.3,0.63,51.95,44.74,3.31,100.0
CRD,2023,9.83,5.91,19.64,7.44,16.59,9.33,12.32,16.57,1.26,0.41,0.7,59.41,38.22,2.37,100.0
DAL,2023,13.46,8.21,9.73,2.11,20.14,17.9,4.96,20.91,0.34,1.35,0.55,53.65,43.77,2.24,100.0
DEN,2023,10.91,3.2,15.99,3.02,18.29,12.72,14.85,18.27,1.26,0.63,0.38,51.41,45.84,2.27,100.0
DET,2023,16.19,4.11,10.17,2.2,26.12,13.25,8.41,16.15,0.7,0.88,0.73,58.79,37.81,2.31,100.0
GNB,2023,20.99,5.24,4.33,3.13,18.33,10.8,16.74,18.32,0.82,0.56,0.59,52.02,45.86,1.97,100.0
JAX,2023,5.73,3.08,17.47,3.59,20.09,12.15,18.81,16.46,0.92,1.19,0.51,49.95,47.42,2.63,100.0
KAN,2023,17.68,2.94,9.74,8.31,14.36,24.94,4.53,13.34,2.36,1.21,0.61,53.03,42.8,4.17,100.0
MIA,2023,5.95,4.11,15.43,2.99,18.09,15.85,16.2,17.98,1.09,0.49,0.54,46.56,50.03,2.12,100.0
MIN,2023,11.48,5.42,14.08,4.67,14.01,15.69,17.91,13.5,0.94,0.41,0.61,49.67,47.1,1.96,100.0
NOR,2023,5.86,6.06,11.26,5.91,20.2,24.8,6.97,15.94,1.47,0.62,0.7,49.3,47.7,2.79,100.0
NWE,2023,3.6,2.42,10.09,15.58,17.67,14.15,14.88,18.75,0.7,1.47,0.68,49.37,47.78,2.86,100.0
NYG,2023,10.5,6.24,17.57,2.89,15.61,19.89,8.18,15.4,2.38,0.72,0.49,52.81,43.47,3.59,100.0
NYJ,2023,9.0,4.94,9.42,6.74,19.62,13.35,15.35,18.25,1.25,0.96,0.62,49.73,46.95,2.83,100.0
PHI,2023,3.83,2.35,9.76,4.07,26.09,27.91,7.3,16.2,1.46,0.5,0.53,46.1,51.42,2.49,100.0
PIT,2023,4.56,3.09,11.6,1.66,19.7,18.17,21.46,16.03,2.49,0.49,0.42,40.61,55.66,3.4,100.0
RAI,2023,6.45,10.14,16.5,3.2,18.23,23.13,8.29,9.57,1.93,1.14,0.64,54.53,40.99,3.71,100.0
RAM,2023,10.12,2.13,21.02,4.58,14.35,17.13,14.89,14.57,0.43,0.37,0.42,52.2,46.58,1.22,100.0
SEA,2023,6.74,3.12,14.64,8.42,12.44,17.9,13.29,18.95,1.41,1.54,0.35,45.36,50.14,3.3,100.0
SFO,2023,8.04,3.69,10.34,6.76,14.08,22.57,15.66,13.47,0.49,0.9,0.63,42.92,51.7,2.02,100.0
TAM,2023,17.45,4.28,19.69,3.41,14.57,11.48,18.3,9.03,0.78,0.46,0.55,59.4,38.81,1.8,100.0
WAS,2023,4.45,3.59,15.11,5.74,14.82,25.25,5.68,21.89,1.07,1.6,0.43,43.71,52.82,3.1,100.0
ATL,2024,13.21,4.33,7.91,6.7,22.08,15.3,11.48,15.06,2.18,1.19,0.39,54.21,41.84,3.76,100.0
BUF,2024,13.08,1.94,17.71,4.76,14.68,18.28,9.54,16.09,1.78,0.81,0.47,52.16,43.91,3.07,100.0
CAR,2024,5.6,5.75,12.6,7.33,26.72,9.29,10.13,20.12,0.98,1.04,0.44,58.0,39.53,2.46,100.0
CHI,2024,4.55,4.13,15.41,7.84,15.77,18.56,14.81,15.5,1.67,0.4,0.89,47.7,48.87,2.96,100.0
CIN,2024,11.97,3.76,14.31,4.21,19.07,24.99,8.16,11.73,1.01,0.39,0.38,53.32,44.89,1.79,100.0
CLE,2024,12.78,4.66,9.18,5.73,21.47,21.25,4.76,17.45,1.23,0.63,0.79,53.81,43.46,2.65,100.0
CLT,2024,5.62,5.33,11.29,5.19,27.67,20.77,10.35,9.82,2.4,1.0,0.57,55.09,40.94,3.97,100.0
CRD,2024,19.62,6.3,6.67,3.39,18.92,13.9,8.36,19.41,2.17,0.71,0.64,54.9,41.67,3.52,100.09
DAL,2024,22.05,4.58,11.88,1.98,17.42,19.03,4.53,15.71,0.38,1.58,0.48,57.9,39.27,2.44,100.0
DEN,2024,26.22,2.95,8.3,2.92,18.09,12.93,12.25,13.02,1.62,0.81,0.39,58.48,38.2,2.82,100.0
DET,2024,12.65,4.91,7.67,2.6,22.88,20.06,9.45,16.87,0.9,1.7,0.34,50.69,46.38,2.93,100.0
GNB,2024,8.93,8.8,3.51,2.23,19.51,25.88,5.48,24.15,0.51,0.37,0.53,42.97,55.51,1.41,100.0
JAX,2024,7.58,3.07,17.86,4.5,20.4,12.21,18.72,13.75,0.34,1.04,0.52,53.42,44.68,1.9,100.0
KAN,2024,15.91,2.5,11.3,10.36,24.57,16.63,4.97,11.38,1.58,0.35,0.46,64.65,32.97,2.38,100.0
MIA,2024,5.73,3.46,17.17,3.08,13.96,9.69,21.29,20.81,1.89,0.7,0.91,43.4,51.78,3.51,100.0
MIN,2024,16.18,4.21,7.26,6.58,19.87,9.11,15.85,18.17,0.42,0.39,0.67,54.09,43.13,1.48,100.0
NOR,2024,7.11,9.13,9.89,7.17,21.5,17.53,7.61,18.32,0.45,0.31,0.55,54.79,43.46,1.31,100.0
NWE,2024,7.79,4.56,13.31,4.41,17.94,14.37,14.26,21.65,0.6,0.42,0.71,48.0,50.27,1.72,100.0
NYG,2024,21.27,2.33,8.47,2.62,19.75,14.34,17.07,9.52,3.01,1.03,0.45,54.44,40.93,4.49,100.0
NYJ,2024,11.31,2.37,11.51,5.78,17.72,22.5,9.41,17.06,0.97,0.79,0.54,48.69,48.97,2.3,100.0
PHI,2024,7.92,2.65,10.55,5.35,22.05,13.25,18.95,16.41,1.82,0.53,0.41,48.52,48.6,2.77,100.0
PIT,2024,5.63,3.57,6.82,3.07,19.23,15.09,23.72,19.24,1.9,1.22,0.47,38.32,58.05,3.6,100.0
RAI,2024,7.46,3.14,14.93,4.46,15.74,32.16,6.43,11.54,2.06,1.56,0.5,45.72,50.13,4.11,100.0
RAM,2024,19.71,1.64,15.75,7.45,26.97,12.81,5.67,8.88,0.34,0.4,0.36,71.52,27.37,1.11,100.0
SEA,2024,11.04,2.16,16.87,6.37,9.48,15.24,10.91,23.39,2.17,1.55,0.36,45.93,49.54,4.09,100.0
SFO,2024,4.32,4.72,11.21,6.67,17.41,21.75,12.36,17.81,0.79,0.97,0.53,44.34,51.92,2.28,100.0
TAM,2024,4.79,2.07,23.72,1.73,12.81,14.28,15.67,21.73,2.05,0.61,0.56,45.12,51.67,3.21,100.0
WAS,2024,6.11,2.81,16.32,4.13,21.34,26.13,6.96,12.37,1.27,1.56,0.6,50.69,45.46,3.43,100.0
