Feature,Importance,Is_Coach_Feature
QB_Players_Count,0.0,False
RB_Players_Count,0.0,False
DL_Min_Games_Missed_Pct,0.0,False
LB_Min_Games_Missed_Pct,0.0,False
LB_Players_Count,0.0,False
Current_Round_7Plus_Picks,0.0,False
TD Passing__dc_Norm,0.0,True
Att Rushing__dc_Norm,0.0,True
Pen__dc_Norm,0.0,True
Yds Rushing__dc_Norm,0.0,True
Plays Average Drive__dc_Norm,0.0,True
Yds Average Drive__dc_Norm,0.0,True
RZPct__dc_Norm,0.0,True
Sc%__dc_Norm,0.0,True
S_Departure_Rate_Pct,0.0,False
S_Net_Change,0.0,False
QB_Retention_Rate_Pct_crosstab,0.0,False
QB_Departure_Rate_Pct_crosstab,0.0,False
QB_New_Player_Rate_Pct_crosstab,0.0,False
RB_Retention_Rate_Pct_crosstab,0.0,False
RB_Departure_Rate_Pct_crosstab,0.0,False
S_Retention_Rate_Pct,0.0,False
WR_Departure_Rate_Pct_crosstab,0.0,False
TE_Retention_Rate_Pct_crosstab,0.0,False
TE_Departure_Rate_Pct_crosstab,0.0,False
TE_New_Player_Rate_Pct_crosstab,0.0,False
OL_Departure_Rate_Pct_crosstab,0.0,False
OL_New_Player_Rate_Pct_crosstab,0.0,False
DL_Retention_Rate_Pct_crosstab,0.0,False
DL_Departure_Rate_Pct_crosstab,0.0,False
DL_New_Player_Rate_Pct_crosstab,0.0,False
LB_Retention_Rate_Pct_crosstab,0.0,False
LB_Departure_Rate_Pct_crosstab,0.0,False
CB_Retention_Rate_Pct_crosstab,0.0,False
CB_Departure_Rate_Pct_crosstab,0.0,False
CB_New_Player_Rate_Pct_crosstab,0.0,False
S_Retention_Rate_Pct_crosstab,0.0,False
RB_New_Player_Rate_Pct_crosstab,0.0,False
RZAtt__opp__hc_Norm,0.0,True
TE_Net_Change,0.0,False
OL_Players_New,0.0,False
OL_Players_Retained,0.0,False
OL_Retention_Rate_Pct,0.0,False
OL_Departure_Rate_Pct,0.0,False
DL_Players_Retained,0.0,False
DL_Departure_Rate_Pct,0.0,False
LB_Players_Retained,0.0,False
LB_Players_Departed,0.0,False
LB_Departure_Rate_Pct,0.0,False
